,first_name,last_name,flag_code,residence,birthplace,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,age
19,Paul,Annacone,USA,"Topanga, CA, USA","Southampton, NY, USA",1963-03-20,1984.0,79.0,185.0,0,0,61.0
20,Alex,Antonitsch,AUT,"Vienna, Austria","Villach, Austria",1966-02-08,1988.0,85.0,188.0,0,0,58.0
21,Corrado,Aprili,ITA,0,"Verona, Italy",1964-11-13,0.0,80.0,191.0,0,0,60.0
22,Roberto,Arguello,ARG,0,"Rosario, Argentina",1963-05-12,0.0,66.0,173.0,0,0,61.0
23,Jimmy,Arias,USA,"Buffalo, NY","Buffalo, NY",1964-08-16,1980.0,70.0,175.0,0,0,60.0
24,Marco,Armellini,ITA,0,"Udine, Italy",1960-08-17,0.0,85.0,188.0,0,0,64.0
25,Jordi,Arrese,ESP,"Barcelona, Spain","Barcelona, Spain",1964-08-29,1982.0,64.0,175.0,0,0,60.0
26,Pablo,Arraya,PER,"Lima, Peru","Cordoba, Argentina",1961-10-21,1980.0,73.0,180.0,0,0,63.0
27,Edoardo,Artaldi,ITA,0,0,,0.0,0.0,0.0,0,0,
28,Juan,Avendano,ESP,0,"Luanco, Spain",1961-01-29,0.0,73.0,178.0,0,0,63.0
29,Roberto,Azar,ARG,"Buenos Aires, Argentina","Lincoln, Argentina",1966-03-21,1984.0,77.0,185.0,0,0,58.0
30,Ricardo,Acioly,BRA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",1964-02-04,1986.0,82.0,180.0,0,0,60.0
31,Aniceto,Alvarez,ESP,0,0,,0.0,0.0,0.0,0,0,
32,Victor,Amaya,USA,0,"Denver, CO",1954-07-02,0.0,0.0,201.0,0,0,70.0
33,Juan Carlos,Ayala,CHI,0,0,1961-06-18,0.0,0.0,0.0,0,0,63.0
34,M.,Arenzon,BRA,0,0,,0.0,0.0,0.0,0,0,
35,John,Austin,USA,"Scottsdale, AZ","Long Beach, CA",1957-07-31,0.0,88.0,193.0,0,0,67.0
36,Terry,Addison,AUS,0,"Wondai, QLDS, Australia",1946-01-11,0.0,77.0,180.0,0,0,78.0
37,Elio Lito,Alvarez,ARG,0,0,1947-12-05,0.0,0.0,0.0,0,0,77.0
38,George,Amaya,USA,"Atlanta, GA, USA","Weymouth, MA, USA",1950-02-12,1975.0,73.0,173.0,0,0,74.0
39,Ashok,Amritraj,IND,0,"Madras, India",1957-02-22,0.0,0.0,0.0,0,0,67.0
40,Mal,Anderson,AUS,0,"Theodore, QLDS, Australia",1935-03-03,0.0,0.0,0.0,0,0,89.0
41,Jorge,Andrew,VEN,"Lexington, SC, U.S.A.","Caracas, Venezuela",1951-11-02,0.0,88.0,180.0,Right-Handed,One-Handed Backhand,73.0
42,Arthur,Ashe,USA,0,"Richmond, VA",1943-07-10,1969.0,73.0,185.0,Right-Handed,One-Handed Backhand,81.0
43,John,Andrews,USA,0,"Houston, TX, USA",1952-02-05,0.0,0.0,0.0,0,0,72.0
44,Guillermo,Aubone,ARG,0,"Buenos Aires, Argentina",1954-06-08,0.0,0.0,0.0,0,0,70.0
45,Jeff,Austin,USA,0,"Rolling Hills, CA, USA",1951-07-05,0.0,0.0,0.0,0,0,73.0
46,Pieter,Aldrich,RSA,"Vereeniging, South Africa","Johannesburg, South Africa",1965-09-07,1987.0,80.0,180.0,0,0,59.0
47,Tim,Anderson,USA,0,0,,0.0,0.0,0.0,0,0,
48,Orlando,Agudelo,COL,0,0,,0.0,0.0,0.0,0,0,
49,Luis,Ayala,CHI,0,Santiago,1932-09-18,0.0,0.0,0.0,0,0,92.0
50,Birger,Andersson,SWE,0,0,1951-03-26,0.0,0.0,0.0,0,0,73.0
51,Rich,Andrews,USA,0,0,,0.0,0.0,0.0,0,0,
52,Gabriel,Auroux,ARG,0,0,,0.0,0.0,0.0,0,0,
53,Andre,Agassi,USA,"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA",1970-04-29,1986.0,80.0,180.0,Right-Handed,Two-Handed Backhand,54.0
54,Adrian,Andreev,BUL,0,0,2001-05-12,0.0,0.0,0.0,0,0,23.0
55,Luis Alberto,Ayala,CHI,0,0,1959-10-21,0.0,0.0,0.0,0,0,65.0
56,Kehinde,Ajayi,NGR,0,0,,0.0,0.0,0.0,0,0,
57,Steven,Alger,BER,0,Bermuda,,0.0,84.0,188.0,0,0,
58,Haim,Arlozorov,ISR,0,0,,0.0,0.0,0.0,0,0,
59,Paul,Avis,RSA,0,"Springs, South Africa",1958-04-14,0.0,0.0,0.0,0,0,66.0
60,Unknown,Unknown,0,0,0,,0.0,0.0,0.0,0,0,
61,Michael,Appleton,GBR,0,"Lancashire, England",1969-01-01,0.0,0.0,0.0,0,0,55.0
62,William,Alvarez,COL,0,"Medellin, Colombia",1934-12-15,0.0,83.0,178.0,0,0,90.0
63,Jose Luis,Arilla,ESP,0,0,,0.0,0.0,0.0,0,0,
64,Mohammad Hossein,Akbari,IRI,0,0,,0.0,0.0,0.0,0,0,
65,Bob,Alloo,USA,0,"Overland Park, KS, U.S.A.",1949-05-07,0.0,0.0,0.0,0,0,75.0
66,Jose,Ayala,MEX,0,"Guadalajara, Mexico",1970-12-22,0.0,76.0,180.0,0,0,54.0
67,Malcolm,Allen,USA,0,"Los Angeles, CA",1967-07-13,0.0,70.0,178.0,0,0,57.0
68,Tino,Anda,ESP,0,"Zaragoza, Spain",1968-04-16,0.0,66.0,180.0,0,0,56.0
69,Taghi,Akbari,IRI,0,0,,0.0,0.0,0.0,0,0,
70,Jose Francisco,Altur,ESP,"Valencia, Spain","Valencia, Spain",1968-03-24,1985.0,81.0,191.0,0,0,56.0
71,Eric,Amend,USA,0,"Berkeley, CA",1965-11-17,0.0,70.0,180.0,0,0,59.0
72,John,Antonas,BAH,0,0,,0.0,0.0,0.0,0,0,
73,Bengt,Aberg,SWE,0,0,,0.0,0.0,0.0,0,0,
74,Pablo,Albano,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",1967-04-11,1986.0,79.0,178.0,0,0,57.0
75,Jose-Luis,Aparisi,ESP,0,"Valencia, Spain",1969-03-11,0.0,66.0,178.0,0,0,55.0
76,Adam,Anderson,AUS,0,"Sydney, Australia",1969-12-21,0.0,73.0,180.0,0,0,55.0
77,Johan,Anderson,AUS,0,"Vasteras, Sweden",1971-09-29,0.0,78.0,183.0,0,0,53.0
78,Ian,Aler,USA,0,"Costa Mesa, CA, U.S.A.",1965-11-11,0.0,0.0,0.0,0,0,59.0
79,Zeeshan,Ali,IND,0,"Calcutta, India",1970-01-01,0.0,66.0,180.0,0,0,54.0
80,Alejandro,Aramburu,PER,0,"Lima, Peru",1969-02-14,0.0,64.0,175.0,0,0,55.0
81,Kim,Andersson,SWE,0,0,,0.0,0.0,0.0,0,0,
82,Jan,Apell,SWE,"Kungsbacka,Sweden","Goteborg, Sweden",1969-11-04,1988.0,73.0,183.0,0,0,55.0
83,David,Adams,RSA,"Cape Town, South Africa","Durban, South Africa",1970-01-05,1989.0,79.0,188.0,0,0,54.0
84,Massimo,Ardinghi,ITA,"Florence, Italy","Genova, Italy",1971-03-06,1988.0,71.0,175.0,0,0,53.0
85,Johan,Alven,SWE,0,0,1972-01-13,0.0,0.0,0.0,0,0,52.0
86,John,Arbanas,AUS,0,0,1970-02-07,0.0,0.0,0.0,0,0,54.0
87,Carsten,Arriens,GER,"Munich, Germany","Frankfurt, Germany",1969-04-11,1991.0,81.0,193.0,0,0,55.0
88,Emilio,Benfele Alvarez,ESP,"Munich, Gemany","Figeras, Spain",1972-11-15,1989.0,85.0,183.0,0,0,52.0
89,Chuck,Adams,USA,"Pacific Palisades, CA","Pacific Palisades, CA",1971-04-23,1990.0,81.0,185.0,0,0,53.0
90,Wayne,Arthurs,AUS,"Melbourne, Australia","Adelaide, S.A., Australia",1971-03-18,1990.0,80.0,191.0,0,0,53.0
91,Karim,Alami,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",1973-05-24,1990.0,85.0,185.0,0,0,51.0
92,Roberto,Alvarez,ARG,0,0,1971-02-23,0.0,0.0,0.0,0,0,53.0
93,Stephane,Andriolo,FRA,0,0,,0.0,0.0,0.0,0,0,
94,Xavier,Avila,ESP,"Ponte Vedra Beach, FL","Lleida, Spain",1973-12-10,0.0,73.0,183.0,0,0,51.0
95,Yenesi,Allen,NIG,0,0,,0.0,0.0,0.0,0,0,
96,Lawrence,Awopegba,NIG,0,0,,0.0,0.0,0.0,0,0,
97,Patricio,Arnold,ARG,0,"Buenos Aires, Argentina",1971-10-20,0.0,73.0,183.0,0,0,53.0
98,Hicham,Arazi,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",1973-10-19,1993.0,65.0,175.0,0,0,51.0
99,Lucas,Arnold Ker,ARG,"Barcelona, Spain","Buenos Aires, Argentina",1974-10-12,1994.0,76.0,180.0,0,0,50.0
100,Pietro,Angelini,ITA,0,0,1971-12-07,0.0,0.0,0.0,0,0,53.0
101,Thomas,Andersen,DEN,0,0,,0.0,0.0,0.0,0,0,
102,Nasser-Ghanim,Al-Khulaifi,QAT,0,0,1973-11-12,0.0,0.0,0.0,0,0,51.0
103,Charles,Auffray,FRA,0,0,1973-02-24,1996.0,83.0,183.0,0,0,51.0
104,Julian,Alonso,ESP,"Monte Carlo, Monaco","Canet de Mar, Spain",1977-08-02,1996.0,82.0,185.0,0,0,47.0
105,Jan Frode,Andersen,NOR,"Oslo, Norway","Asker, Norway",1972-08-29,1997.0,85.0,191.0,Left-Handed,Two-Handed Backhand,52.0
106,Henrik,Andersson,SWE,0,0,1977-05-02,0.0,0.0,0.0,0,0,47.0
107,Yves,Allegro,SUI,"Grone, Switzerland","Grone, Switzerland",1978-08-24,1997.0,82.0,183.0,0,0,46.0
108,Leonardo,Azzaro,ITA,"Florence, Italy","Florence, Italy",1978-05-30,1997.0,75.0,188.0,0,0,46.0
109,Jacob,Adaktusson,SWE,"Stockholm, Sweden","Stockholm, Sweden",1980-08-31,0.0,87.0,193.0,0,0,44.0
110,Florian,Allgauer,ITA,0,0,1979-01-07,0.0,0.0,0.0,0,0,45.0
111,Emin,Agaev,AZE,"Monte Carlo, Monaco",0,1979-05-14,1999.0,77.0,0.0,0,0,45.0
112,Diego,Ayala,USA,"Coral Springs, Florida, USA","Cordoba, Argentina",1979-04-29,1998.0,77.0,175.0,0,0,45.0
113,Hugo,Armando,USA,"Bradenton, Florida, USA","Miami, Florida, USA",1978-05-27,1997.0,82.0,183.0,Right-Handed,One-Handed Backhand,46.0
114,Patricio,Arquez,ARG,0,0,1980-04-12,0.0,0.0,0.0,0,0,44.0
115,Simon,Aspelin,SWE,"London, England","Saltsjobaden, Sweden",1974-05-11,1998.0,79.0,185.0,0,0,50.0
116,Francesco,Aldi,ITA,"Palermo, Italy","Palermo, Italy",1981-09-17,1999.0,75.0,175.0,0,0,43.0
117,Thierry,Ascione,FRA,rueil malmaison,"Villeurbanne, France",1981-01-17,2000.0,89.0,188.0,Right-Handed,One-Handed Backhand,43.0
118,Diego,Alvarez,ARG,0,0,1980-03-06,0.0,0.0,0.0,0,0,44.0
119,James,Auckland,GBR,London,Norwich,1980-04-01,1999.0,79.0,0.0,0,0,44.0
120,Clayton,Almeida,BRA,0,0,1980-12-26,0.0,0.0,0.0,0,0,44.0
121,Mario,Ancic,CRO,"Monte Carlo, Monaco","Split, Croatia",1984-03-30,2001.0,82.0,196.0,Right-Handed,Two-Handed Backhand,40.0
122,Jose,Acasuso,ARG,"Buenos Aires, Argentina","Posadas-Misiones, Argentina",1982-10-20,1999.0,86.0,191.0,Right-Handed,One-Handed Backhand,42.0
123,Artemon,Apostu-Efremov,ROU,0,0,1979-06-19,0.0,0.0,0.0,0,0,45.0
124,Maximilian,Abel,GER,"Frankfurt, Germany","Frankfurt, Germany",1982-02-28,0.0,76.0,0.0,0,0,42.0
125,Johannes,Ager,AUT,"Kramsach, Austria","Brixlegg, Austria",1984-03-10,2003.0,80.0,196.0,0,0,40.0
126,Thiago,Alves,BRA,"Sao Jose do Rio Preto, Brazil","Sao Jose do Rio Preto, Brazil",1982-05-22,2000.0,75.0,178.0,Right-Handed,Two-Handed Backhand,42.0
127,Alfredo,Acuna,PER,0,0,1946-11-22,0.0,0.0,0.0,0,0,78.0
128,Andrea,Agazzi,ITA,0,Rovato (Brescia),1982-07-23,0.0,0.0,0.0,0,0,42.0
129,Patricio,Apey,CHI,0,0,,0.0,0.0,0.0,0,0,
130,Andrew,Anderson,RSA,"Johannesburg, South Africa","Johannesburg, South Africa",1983-04-08,2002.0,79.0,193.0,0,0,41.0
131,Bob,Abbott,USA,0,0,,0.0,0.0,0.0,0,0,
132,Kenneth,Andersson,SWE,0,0,,0.0,0.0,0.0,0,0,
133,Ernesto,Aguirre,CHI,0,0,,0.0,0.0,0.0,0,0,
134,Jorge,Aguilar,CHI,"Santiago, Chile","Santiago, Chile",1985-01-08,0.0,68.0,178.0,Right-Handed,Two-Handed Backhand,39.0
135,Mariano,Albert-Ferrando,ESP,0,0,1982-04-26,0.0,0.0,0.0,0,0,42.0
136,Jae-Sung,An,KOR,0,0,1985-05-28,0.0,0.0,0.0,0,0,39.0
137,Nicolas,Almagro,ESP,"Murcia, Spain","Murcia, Spain",1985-08-21,2003.0,86.0,183.0,Right-Handed,One-Handed Backhand,39.0
138,Jack,Acheson,USA,0,0,,0.0,0.0,0.0,0,0,
139,Rich,Anderson,USA,0,0,,0.0,0.0,0.0,0,0,
140,Prakash,Amritraj,IND,"Encino, CA, USA","Los Angeles, CA, USA",1983-10-02,2003.0,75.0,188.0,0,0,41.0
141,Karim,Alayli,LIB,0,0,1983-03-24,0.0,0.0,0.0,0,0,41.0
142,Juan-Martin,Aranguren,ARG,0,0,1983-10-07,0.0,0.0,0.0,0,0,41.0
143,Omar ,Alawadhi,UAE,0,"Dubai, United Arab Emirates",1982-01-16,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,42.0
144,Musaad,Al Jazzaf,KUW,0,0,1984-04-20,0.0,0.0,0.0,0,0,40.0
145,Igor,Andreev,RUS,"Moscow, Russia","Moscow, Russia",1983-07-14,2002.0,80.0,185.0,Right-Handed,Two-Handed Backhand,41.0
146,Marc,Auradou,FRA,0,0,1984-07-09,0.0,0.0,0.0,0,0,40.0
147,Stephen,Amritraj,IND,0,0,1984-03-28,0.0,0.0,0.0,0,0,40.0
148,Martin,Alund,ARG,"Mendoza, Argentina","Mendoza, Argentina",1985-12-26,0.0,80.0,183.0,Right-Handed,One-Handed Backhand,39.0
149,George,Andrews,CAN,0,0,,0.0,0.0,0.0,0,0,
150,John,Allgood,USA,0,0,,0.0,0.0,0.0,0,0,
151,Stephen,Avoyer,USA,0,"San Diego, CA",1948-04-28,0.0,0.0,0.0,0,0,76.0
152,Haythem,Abid,TUN,0,0,1985-07-17,0.0,0.0,0.0,Left-Handed,Two-Handed Backhand,39.0
153,Hugo,Anao,POR,0,0,,0.0,0.0,0.0,0,0,
154,Ali,Ghareeb,KUW,0,0,1986-03-16,0.0,0.0,0.0,0,0,38.0
155,Khalid,Al Nabhani,OMA,0,0,1982-09-02,0.0,0.0,0.0,0,0,42.0
156,Pablo,Andujar,ESP,"Valencia, Spain","Cuenca, Spain",1986-01-23,2003.0,76.0,180.0,Right-Handed,Two-Handed Backhand,38.0
157,Theodoros,Angelinos,GRE,0,0,1984-05-29,0.0,0.0,0.0,0,0,40.0
158,Mohammed,Abdulla,QAT,0,0,1985-05-23,0.0,0.0,0.0,0,0,39.0
159,Andrea,Arnaboldi,ITA,"Cantu, Italy","Milan, Italy",1987-12-27,2006.0,72.0,180.0,Left-Handed,One-Handed Backhand,37.0
160,Rafael,Arevalo,ESA,0,0,1986-07-04,0.0,0.0,0.0,0,0,38.0
161,Ali,El Alaoui,MAR,0,0,1986-02-21,0.0,0.0,0.0,0,0,38.0
162,Bob,Adams,0,0,0,,0.0,0.0,0.0,0,0,
163,Victor-Mugurel,Anagnastopol,ROU,0,0,1986-03-23,0.0,0.0,0.0,0,0,38.0
164,Beyazit,Anbar,TUR,0,0,,0.0,0.0,0.0,0,0,
165,Roberto,Aubone,ARG,0,0,,0.0,0.0,0.0,0,0,
166,Ardyanto ,Suta-Wibawa,INA,0,0,,0.0,0.0,0.0,0,0,
167,Mohammed,Al Nabhani,OMA,0,0,1985-09-01,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,39.0
168,Orhan,Atas,TUR,0,0,,0.0,0.0,0.0,0,0,
169,Cahit,Atas,TUR,0,0,,0.0,0.0,0.0,0,0,
170,Ricardo,Aubone,ARG,0,0,,0.0,0.0,0.0,0,0,
171,Aleksandr,Agafonov,UKR,0,0,1986-02-23,0.0,0.0,0.0,0,0,38.0
172,Guillermo,Alcaide,ESP,"Sanxenxo, Spain","Madrid, Spain",1986-05-27,0.0,77.0,188.0,Right-Handed,Two-Handed Backhand,38.0
173,Juan-Pablo,Amado,ARG,"Buenos Aires, Argentina","Mar Del Plata, Argentina",1986-04-02,0.0,0.0,0.0,0,0,38.0
174,John,Adams,0,0,0,,0.0,0.0,0.0,0,0,
175,Kevin,Anderson,RSA,"Gulf Stream, FL, USA","Johannesburg, South Africa",1986-05-18,2007.0,93.0,203.0,Right-Handed,Two-Handed Backhand,38.0
176,Ivan,Anikanov,UKR,0,0,1988-03-15,0.0,0.0,0.0,0,0,36.0
177,Adnan,Al Mahmoud,ROU,Romania,0,1988-06-06,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,36.0
178,Gleb,Alekseenko,UKR,Ukraine,"Izmail, Ukraine",1983-05-19,0.0,85.0,191.0,0,0,41.0
179,Syrym,Abdukhalikov,KAZ,Kazakhstan,0,1987-08-07,0.0,0.0,0.0,0,0,37.0
180,Bruno,Agostinelli,CAN,Canada,0,1987-04-01,0.0,0.0,0.0,0,0,37.0
181,Vadim,Alekseenko,UKR,"Odessa, Ukraine","Odessa, Ukraine",1983-05-19,0.0,85.0,191.0,Right-Handed,Two-Handed Backhand,41.0
182,Arnaud,Agniel,FRA,0,0,1982-01-23,0.0,0.0,0.0,0,0,42.0
183,Jean,Andersen,RSA,0,0,1988-06-17,0.0,0.0,0.0,0,0,36.0
184,Ahmed,Abdrabuh,SYR,0,0,1985-05-23,0.0,0.0,0.0,0,0,39.0
185,Pedro,Ast,VEN,0,0,1988-08-12,0.0,0.0,0.0,0,0,36.0
186,Hashim,Abdal,KUW,0,0,1989-11-26,0.0,0.0,0.0,0,0,35.0
187,Jean-Yves,Aubone,USA,"Miami, Florida, USA","Miami, Florida, USA",1988-01-10,0.0,73.0,178.0,Right-Handed,One-Handed Backhand,36.0
188,Tuna,Altuna,TUR,"Istanbul, Turkey","Istanbul, Turkey",1989-01-30,0.0,80.0,185.0,Right-Handed,Two-Handed Backhand,35.0
189,Ivan,Arenas-Gualda,ESP,0,0,1990-10-31,0.0,0.0,0.0,0,0,34.0
190,Maxime,Authom,BEL,0,0,1987-03-29,0.0,0.0,0.0,0,0,37.0
191,Iain,Atkinson,GBR,0,0,1988-10-02,0.0,0.0,0.0,0,0,36.0
192,Mauricio,Astorga,MEX,"Cancun, Mexico","Mexico City, Mexico",1991-06-19,0.0,74.0,0.0,Left-Handed,One-Handed Backhand,33.0
193,Miles,Armstrong,AUS,0,0,1986-04-16,0.0,0.0,0.0,0,0,38.0
194,Guillermo,Alcorta-Olarra,ESP,0,0,1989-06-16,0.0,0.0,0.0,0,0,35.0
195,Bogdan,Andrii,ROU,0,0,1989-06-30,0.0,0.0,0.0,0,0,35.0
196,Radu,Albot,MDA,"Chisinau, Moldova","Chisinau, Moldova",1989-11-11,2008.0,69.0,175.0,Right-Handed,Two-Handed Backhand,35.0
197,Toni,Androic,CRO,"Zagreb, Croatia","Pula, Croatia",1991-12-28,2010.0,73.0,168.0,Right-Handed,Two-Handed Backhand,33.0
198,Marcelo,Arevalo,ESA,"Sonsonate, El Salvador","Sonsonate, El Salvador",1990-10-17,2012.0,86.0,191.0,Right-Handed,Two-Handed Backhand,34.0
199,Danila,Arsenov,RUS,"Moscow, Russia","Tver, Russia",1989-06-09,0.0,70.0,183.0,0,0,35.0
200,Miguel,Almeida,POR,0,0,1992-06-29,0.0,0.0,0.0,0,0,32.0
201,Guido,Andreozzi,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",1991-08-05,2010.0,77.0,183.0,Right-Handed,Two-Handed Backhand,33.0
202,Hamad Abbas,Janahi,UAE,0,0,1990-08-04,0.0,0.0,0.0,0,0,34.0
203,Jasmin,Ademovic,BIH,0,0,1991-08-24,0.0,0.0,0.0,0,0,33.0
204,Omar,Aboushalam,MAR,0,0,,0.0,0.0,0.0,0,0,
205,Facundo,Arguello,ARG,"Cordoba, Argentina","Cordoba, Argentina",1992-08-04,0.0,77.0,178.0,Right-Handed,Two-Handed Backhand,32.0
206,Vugar,Aliev,RUS,0,0,1993-09-03,0.0,0.0,0.0,0,0,31.0
207,Vasile,Antonescu,ROU,"Constanta, Romania","Constanta, Romania",1990-03-24,0.0,82.0,183.0,Right-Handed,Two-Handed Backhand,34.0
208,Matthew,Allare,USA,0,0,1989-03-19,0.0,0.0,0.0,0,0,35.0
209,Anthony,Assal,USA,0,0,1992-06-02,0.0,0.0,0.0,0,0,32.0
210,Hamza,Aglaib,MAR,0,0,1990-03-10,0.0,0.0,0.0,0,0,34.0
211,Elwin,Antony,IND,0,0,1991-10-06,0.0,0.0,0.0,0,0,33.0
212,Jack,Anton,USA,0,0,1991-09-25,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,33.0
213,Renato,Assad,BRA,0,0,1992-10-03,0.0,0.0,0.0,0,0,32.0
214,Aitor,Aramburu,MEX,0,0,1991-11-30,0.0,0.0,0.0,0,0,33.0
215,Hamad,Al Mulla,QAT,0,0,1992-08-16,0.0,0.0,0.0,0,0,32.0
216,Mohamed,Adnaoui,MAR,"Casablanca, Morocco","Casablanca, Morocco",1984-12-09,0.0,78.0,185.0,Right-Handed,One-Handed Backhand,40.0
217,Kalle,Averfalk,SWE,0,0,1992-04-07,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,32.0
218,Romain,Arneodo,MON,0,"Cannes, France",1992-08-04,0.0,70.0,175.0,Right-Handed,Two-Handed Backhand,32.0
219,Isak,Arvidsson,SWE,"Båstad, Sweden",Hjo,1992-08-06,0.0,79.0,188.0,Right-Handed,Two-Handed Backhand,32.0
220,Andres,Artunedo Martinavarro,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",1993-09-14,2011.0,75.0,183.0,Right-Handed,Two-Handed Backhand,31.0
221,Albert,Alcaraz Ivorra,ESP,"San Juan de Alicante, Spain","San Juan de Alicante, Spain",1995-05-15,0.0,85.0,191.0,Right-Handed,Two-Handed Backhand,29.0
222,Abdulrahman,Al Harib,QAT,0,0,1995-01-24,0.0,0.0,0.0,0,0,29.0
223,Osvaldo,Aguirre,CHI,0,0,1986-03-12,0.0,0.0,0.0,0,0,38.0
224,Khalid,Allouch,MAR,0,0,1991-06-03,0.0,0.0,0.0,0,0,33.0
225,Andrew,Adams,USA,0,0,1993-03-18,0.0,0.0,0.0,0,0,31.0
226,Andrei Stefan,Apostol,ROU,Romania ,"Bucharest, Romania",1995-02-25,0.0,74.0,0.0,Right-Handed,Two-Handed Backhand,29.0
227,Ahmed Deedat,Abdul Razak,MAS,0,0,1995-06-18,0.0,0.0,0.0,0,0,29.0
228,Bogdan Ionut,Apostol,ROU,0,0,1996-01-17,0.0,0.0,0.0,0,0,28.0
229,Roberto,Affonso,BRA,0,0,1994-02-09,0.0,75.0,170.0,0,0,30.0
230,Jabor,Al-Mutawa,QAT,0,0,1994-05-27,0.0,0.0,0.0,0,0,30.0
231,Mubarak Shannan,Zayid,QAT,0,0,1995-04-14,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,29.0
232,Ali,Al-Saygh,QAT,0,0,1996-02-12,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,28.0
233,Manuel,Arias,COL,0,0,1997-05-21,0.0,0.0,0.0,0,0,27.0
234,Collin,Altamirano,USA,"Sacramento, California","Sacramento, California",1995-12-07,0.0,84.0,188.0,Right-Handed,Two-Handed Backhand,29.0
235,Jay,Andrijic,AUS,0,0,1995-10-03,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,29.0
236,Abdulla,Al Mohamoud,QAT,0,0,1996-11-02,0.0,0.0,0.0,0,0,28.0
237,Abdulla,Al-Jufairi,QAT,0,0,1997-08-29,0.0,0.0,0.0,0,0,27.0
238,Jassem,Al Zeyara,QAT,0,0,1997-12-09,0.0,0.0,0.0,0,0,27.0
239,Sarp,Agabigun,TUR,0,"Istanbul, Turkey",1997-06-12,0.0,75.0,178.0,Right-Handed,Two-Handed Backhand,27.0
240,R.,Armytage,GBR,0,0,,0.0,0.0,0.0,0,0,
241,T.,Ayling,GBR,0,0,,0.0,0.0,0.0,0,0,
242,J.,Adams,USA,0,0,,0.0,0.0,0.0,0,0,
243,Antonio,Andrade,ESP,0,0,,0.0,0.0,0.0,0,0,
244,Athanasios,Anastopoulos,GRE,0,0,1958-02-05,0.0,0.0,0.0,0,0,66.0
245,Unknown,Akhtar,0,0,0,,0.0,0.0,0.0,0,0,
246,Shirzad,Akbari,IRI,0,0,,0.0,0.0,0.0,0,0,
247,Budiman,Aznar,INA,0,0,,0.0,0.0,0.0,0,0,
248,Oliver,Anderson,AUS,"Brisbane, Australia","Brisbane, Australia",1998-04-30,0.0,73.0,175.0,Right-Handed,Two-Handed Backhand,26.0
