first_name,last_name,hand,birth_date,country_code
Graham,Stilwell,R,19451115.0,GBR
Robert,Rheinberger,R,19451118.0,AUS
Chris,Bovett,R,19451225.0,GBR
Jun,Kuki,R,19451228.0,JPN
Terry,Addison,R,19460111.0,AUS
Ray,Keldie,R,19460117.0,AUS
John,Clifton,R,19460219.0,GBR
Jan,Kodes,R,19460301.0,CZE
Ray,Ruffels,R,19460323.0,AUS
Jaime,Fillol,R,19460603.0,CHI
Sherwood,Stewart,R,19460606.0,USA
Butch,Seewagen,R,19460613.0,USA
Ivan,Molina,L,19460616.0,COL
Ilie,Nastase,R,19460719.0,ROU
Robert,Maud,R,19460812.0,RSA
Raymond,Moore,R,19460824.0,RSA
Julian,Ganzabal,R,19460825.0,ARG
Patrick,Hombergen,R,19460908.0,BEL
Steve,Turner,R,19461017.0,USA
John,Cooper,R,19461104.0,AUS
Stan,Smith,R,19461214.0,USA
Tom,Gorman,R,19461219.0,USA
Cliff,Richey,R,19461231.0,USA
Jean Baptiste,Chanfreau,R,19470117.0,FRA
Vladimir,Zednik,R,19470201.0,CZE
Guillermo,Oropez,R,19470207.0,USA
Armistead,Neely,R,19470319.0,USA
Pat,Cramer,R,19470321.0,RSA
Roy,Barth,R,19470330.0,USA
Onny,Parun,R,19470415.0,NZL
Humphrey,Hose,R,19470504.0,VEN
Han Jurgen,Pohmann,R,19470523.0,GER
Dan,Bleckinger,R,19470527.0,USA
Gerald,Battrick,R,19470527.0,GBR
Steve,Faulk,R,19470601.0,USA
Zeljko,Franulovic,R,19470613.0,CRO
Peter,Szoke,R,19470808.0,HUN
Peter,Fishbach,R,19470829.0,USA
Robert,Lutz,R,19470829.0,USA
Dick,Dell,R,19470929.0,USA
Jun,Kamiwazumi,R,19471001.0,JPN
Marcello,Lara,R,19471005.0,MEX
Ismail,El Shafei,R,19471115.0,EGY
Toshiro,Sakai,R,19471123.0,JPN
Lito,Alvarez,R,19471205.0,ARG
Karl,Coombes,R,19471217.0,AUS
David,Lloyd,R,19480103.0,GBR
Patrice,Hagelauer,R,19480105.0,FRA
Peter,Kanderal,R,19480116.0,SUI
Ramiro,Benavides,R,19480130.0,BOL
Jasjit,Singh,R,19480204.0,IND
Stanley,Pasarell,R,19480211.0,USA
John,Bartlett,R,19480317.0,AUS
Vladimir,Korotkov,R,19480423.0,RUS
Georges,Goven,R,19480426.0,FRA
Jurgen,Fassbender,R,19480528.0,GER
Brian,Fairlie,R,19480613.0,NZL
Tom,Leonard,R,19480715.0,USA
Bill,Lofgren,R,19480731.0,USA
Steve,Siegel,R,19480904.0,USA
Gene Stuart,Malin,R,19481001.0,USA
Sever,Muresan,R,19481023.0,ROU
Kenneth,Mcmillan,R,19481125.0,USA
Ian,Fletcher,R,19481201.0,AUS
Bernard,Mignot,R,19481203.0,BEL
John,Yuill,R,19481212.0,RSA
Modesto Tito,Vazquez,R,19490101.0,ESP
Andrew,Pattison,R,19490130.0,USA
Manuel,Orantes,L,19490206.0,ESP
Zan,Guerry,R,19490212.0,USA
Hans,Kary,L,19490223.0,AUT
Pavel,Hutka,R,19490228.0,CZE
Bob,Giltinan,R,19490407.0,AUS
Karl,Meiler,R,19490430.0,GER
Bill,Lloyd,R,19490507.0,AUS
Larry,Turville,R,19490604.0,USA
Mike,Estep,R,19490719.0,USA
Jim,Ward,R,19490728.0,USA
Lars,Elvstrom,R,19490818.0,DEN
Patrick,Proisy,R,19490910.0,FRA
Jeff,Borowiak,R,19490925.0,USA
Luis Felipe,Tavares,R,19490926.0,BRA
John,Fort,R,19490928.0,USA
Dale,Power,R,19491002.0,CAN
Norman,Holmes,R,19491005.0,USA
Doug,Crawford,R,19491015.0,USA
Kent,Crawford,R,19491015.0,USA
Wanaro,Ngodrella,R,19491019.0,FRA
Larry,Parker,R,19491023.0,USA
Nicolas,Kelaidis,R,19491029.0,GRE
Haroon,Rahim,R,19491112.0,PAK
Alejandro,Pierola,R,19491120.0,CHI
Alvaro,Betancur,R,19500103.0,COL
Patrice,Dominguez,L,19500112.0,FRA
Antonio,Zugarelli,R,19500117.0,ITA
Syd,Ball,R,19500124.0,AUS
George,Amaya,L,19500212.0,USA
Phil,Dent,R,19500214.0,AUS
Pancho,Walthall,R,19500216.0,USA
Paul,Gerken,R,19500315.0,USA
Kenichi,Hirai,R,19500319.0,JPN
Noel,Phillips,R,19500328.0,AUS
Dick R,Bohrnstedt,R,19500428.0,USA
George,Taylor,R,19500504.0,USA
Steve,Docherty,R,19500506.0,AUS
Louk,Sanders,R,19500509.0,NED
Franklin,Robbins,R,19500613.0,USA
Fred,Hemmes,U,19500614.0,NED
Adriano,Panatta,R,19500709.0,ITA
Fred,Mcnair,R,19500722.0,USA
Charles,Owens,R,19500731.0,USA
Robert,Mckinley,R,19500805.0,USA
Butch,Palmer,R,19500904.0,USA
Geoff,Masters,R,19500919.0,AUS
Jiri,Hrebec,R,19500919.0,CZE
Carlos,Kirmayr,R,19500923.0,BRA
Mike,Powers,R,19500924.0,USA
Jeff,Simpson,R,19501029.0,NZL
Peter,Campbell,R,19501110.0,AUS
Peter,Doerner,R,19501117.0,AUS
Mike,Machette,R,19510127.0,USA
Alvin,Gardiner,R,19510211.0,AUS
Kjell,Johansson,R,19510212.0,SWE
Dick,Stockton,R,19510218.0,USA
Welry,Fritz,R,19510219.0,CAN
Erik,Van Dillen,R,19510221.0,USA
Eddie,Dibbs,R,19510223.0,USA
Ricardo,Cano,R,19510226.0,ARG
Allan,Mcdonald,R,19510301.0,AUS
Antonio,Munoz,R,19510301.0,ESP
John,James,R,19510307.0,AUS
Bill,Freer,R,19510309.0,RSA
Rick,Fisher,R,19510329.0,USA
Hans,Engert,R,19510422.0,GER
Joao,Soares,R,19510425.0,BRA
Joel,Bailey,R,19510425.0,USA
Mike,Collins,R,19510501.0,GBR
Steve,Krulevitz,R,19510530.0,USA
John,Alexander,R,19510704.0,AUS
Jeff,Austin,R,19510705.0,USA
Frank,Puncec,R,19510709.0,RSA
Rolf,Thung,L,19510727.0,NED
Max,Hurlimann,R,19510730.0,SUI
Paolo,Bertolucci,R,19510803.0,ITA
Woody,Blocher,R,19510824.0,USA
Grover Raz,Reid,R,19510827.0,USA
Tim,Gullikson,R,19510908.0,USA
Tom,Gullikson,L,19510908.0,USA
George,Glowa,R,19511001.0,USA
Roscoe,Tanner,L,19511015.0,USA
Luis,Baraldi,R,19511021.0,MEX
Ross,Case,R,19511101.0,AUS
Jorge,Andrew,R,19511102.0,VEN
Peter,Feigl,R,19511130.0,AUT
Gary,Groslimond,R,19520103.0,USA
Brian,Gottfried,R,19520127.0,USA
Rolf,Norberg,R,19520131.0,SWE
John,Andrews,R,19520205.0,USA
Lajos,Levai,R,19520207.0,YUG
Cliff,Letcher,R,19520209.0,AUS
John,Feaver,R,19520216.0,GBR
Rayno,Seegers,R,19520229.0,RSA
Denis,Naegelen,R,19520314.0,FRA
Joe,Garcia,R,19520317.0,USA
Anand,Amritraj,R,19520320.0,IND
Jean Francois,Caujolle,L,19520331.0,FRA
Sandy,Mayer,R,19520405.0,USA
Kim,Warwick,R,19520408.0,AUS
Eric,Deblicker,R,19520417.0,FRA
Hartmut,Kirchhubel,R,19520423.0,GER
Terry,Moor,L,19520423.0,USA
Jacques,Thamin,R,19520523.0,FRA
Frank,Gebert,R,19520611.0,GER
Mike,Cahill,R,19520617.0,USA
Wojtek,Fibak,R,19520803.0,POL
Sashi,Menon,R,19520809.0,IND
Guillermo,Vilas,L,19520817.0,ARG
Andre,Zietsmann,R,19520819.0,RSA
Jimmy,Connors,L,19520902.0,USA
Rod,Frawley,R,19520908.0,AUS
Harold,Solomon,R,19520917.0,USA
Robin,Drysdale,R,19520918.0,GBR
Tenny,Svensson,R,19520921.0,SWE
Byron,Bertram,R,19521029.0,RSA
Timothy,Noonan,R,19521031.0,USA
Ian,Harris,R,19521116.0,USA
Alvaro,Fillol,R,19521204.0,CHI
John,Marks,R,19521209.0,AUS
Rejean,Genois,R,19521230.0,CAN
Richard,Legendre,R,19530119.0,CAN
Chris,Gunning,R,19530207.0,NZL
Corrado,Barazzutti,R,19530219.0,ITA
George,Hardie,L,19530219.0,USA
James Chico,Hagey,R,19530225.0,USA
Jose,Higueras,R,19530301.0,ESP
Jim,Delaney,R,19530312.0,USA
Joaquim,Rasgado Jr,R,19530324.0,BRA
Henry,Bunis,R,19530327.0,USA
Robert,Kreiss,R,19530430.0,USA
Mark,Farrell,R,19530506.0,GBR
Michael,Wayman,R,19530506.0,GBR
Paul,Torre,R,19530518.0,FRA
Robert,Trogolo,R,19530615.0,RSA
Raul,Ramirez,R,19530620.0,MEX
Mike,Myburg,R,19530623.0,RSA
Ulises,Quezada,R,19530714.0,CHI
Chiraid,Mukherjea,R,19530814.0,IND
Keith,Richardson,R,19530818.0,USA
Bernard,Fritz,R,19531005.0,FRA
Hank,Pfister,R,19531009.0,USA
Scott,Carnahan,R,19531024.0,USA
Stephen,Warboys,R,19531025.0,GBR
Roger,Guedes,R,19531103.0,BRA
Rick,Fagel,R,19531129.0,USA
Mark,Meyers,R,19531205.0,USA
Vijay,Amritraj,R,19531214.0,IND
Emilio,Montano,R,19531218.0,MEX
Givaldo,Barbosa,R,19540125.0,BRA
John,Whitlinger,R,19540204.0,USA
Ulrich,Pinner,R,19540207.0,GER
Russell,Simpson,R,19540222.0,NZL
Willem,Prinsloo,R,19540225.0,RSA
Rand,Evett,R,19540301.0,USA
Otto,Panman,R,19540325.0,NED
David,Imonitie,R,19540410.0,NGR
Jean Louis,Haillet,R,19540507.0,FRA
Balazs,Taroczy,R,19540509.0,HUN
Shigeyuki,Nishio,R,19540523.0,JPN
Ernie,Ewert,R,19540605.0,AUS
David,Parker,R,19540607.0,USA
Guillermo,Aubone,L,19540608.0,ARG
Mark,Edmondson,R,19540624.0,AUS
Benjy,Robins,R,19540630.0,USA
Victor,Amaya,L,19540702.0,USA
Sam,Vuille,R,19540706.0,USA
Gonzalo,Nunez,R,19540721.0,USA
Vitas,Gerulaitis,R,19540726.0,USA
John,Lloyd,R,19540827.0,GBR
Eric,Friedler,R,19540908.0,USA
Pat,Dupre,R,19540916.0,USA
Paul,Kronk,R,19540922.0,AUS
Peter,Kronk,R,19540922.0,AUS
Gerard,Toulon,R,19540924.0,FRA
Glen,Holroyd,R,19540925.0,USA
Franz Josef,Wich,R,19541011.0,GER
Freddie,De Jesus,R,19541030.0,PUR
John,Lucas,R,19541031.0,USA
Bruce,Kleege,R,19541101.0,USA
Bernard,Mitton,R,19541109.0,RSA
Victor,Eke,R,19541111.0,AUS
Paul,Mcnamee,R,19541112.0,AUS
Bhanu,Nunna,R,19541113.0,IND
Mike,Fishbach,R,19541201.0,USA
Richard,Lewis,L,19541206.0,GBR
Brian,Teacher,R,19541223.0,USA
Willie,Davies,R,19550101.0,GBR
Peter,Fleming,R,19550121.0,USA
Jiri,Granat,R,19550128.0,CZE
Jonathan,Smith,R,19550129.0,GBR
Peter,Holl,R,19550129.0,GER
Heiner,Seuss,R,19550204.0,GER
Belus,Prajoux,R,19550227.0,CHI
Haroon,Ismail,R,19550227.0,ZIM
Herve,Gauvain,R,19550304.0,FRA
Helmut,Beermann,R,19550309.0,GER
Robert,Baumgartner,R,19550311.0,GER
Trey,Waltke,R,19550316.0,USA
Christopher,Sylvan,R,19550318.0,USA
Javier,Soler,L,19550325.0,ESP
John,Hayes,R,19550407.0,USA
Buster C,Mottram,R,19550425.0,GBR
Colin,Dowdeswell,R,19550512.0,GBR
David,Schneider,R,19550517.0,USA
Craig,Edwards,R,19550519.0,USA
Butch,Walts,R,19550604.0,USA
Michael,Greenberg,R,19550611.0,USA
Chris,Kachel,R,19550619.0,AUS
Peter,Mcnamara,R,19550705.0,AUS
Alejandro,Cortes,R,19550714.0,COL
Filip,Krajcik,R,19550723.0,AUT
Jose,Garcia G003,R,19550723.0,ESP
Jiri,Prucha,R,19550810.0,CZE
Peter,Pearson,R,19550812.0,USA
Horace,Reid,R,19550814.0,USA
Trevor,Allan,L,19550817.0,AUS
Larry,Davidson,R,19550821.0,USA
Richard,Meyer,R,19550904.0,USA
Marcos,Hocevar,R,19550926.0,BRA
Angel,Gimenez,R,19551010.0,ESP
Victor,Pecci,R,19551015.0,PAR
Martin,Robinson,L,19551019.0,GBR
Terry,Rocavert,R,19551021.0,AUS
Julio,Goes,R,19551025.0,BRA
Rocky,Maguire,R,19551027.0,USA
Hubertus,Hoyt,R,19551103.0,USA
Sean,Sorensen,R,19551112.0,IRL
Francisco,Gonzalez,R,19551119.0,PAR
Rolf,Gehring,R,19551125.0,GER
David,Sherbeck,R,19551202.0,USA
Fernando,Maynetto,R,19551202.0,PER
Greg,Halder,R,19551205.0,CAN
Dale,Collings,R,19551216.0,AUS
Gary,Plock,R,19551221.0,USA
Randy,Crawford,R,19551222.0,USA
Tim,Garcia,R,19551228.0,USA
Pavel,Slozil,R,19551229.0,CZE
Bruce,Nichols,R,19551231.0,USA
Ulrich,Marten,R,19560101.0,GER
Gunther,Gnettner,R,19560112.0,GER
Michael,Grant,R,19560203.0,USA
Bill,Maze,R,19560209.0,USA
Hans,Gildemeister,R,19560209.0,CHI
Geoff,Martinez,R,19560213.0,USA
Todd,Lundy,R,19560217.0,USA
Hans,Ritschard,R,19560225.0,SUI
Jan,Norback,R,19560306.0,SWE
Bruce,Manson,L,19560320.0,USA
Jochen,Hierl,R,19560321.0,GER
Warren,Eber,R,19560328.0,USA
Junie,Chatman,R,19560329.0,USA
Hans Peter,Kandler,R,19560402.0,AUT
Ferrante,Rocchi,L,19560411.0,ITA
Gene,Mayer,R,19560411.0,USA
Miguel,Mir,R,19560418.0,ESP
David,Carter,R,19560421.0,AUS
Mansour,Bahrami,R,19560426.0,IRI
Robert,Bettauer,R,19560502.0,CAN
Fritz,Don,R,19560513.0,NED
Tomas,Smid,R,19560520.0,CZE
Regis,Brunet,R,19560531.0,FRA
Nick,Saviano,L,19560605.0,USA
Bjorn,Borg,R,19560606.0,SWE
Carlos,Gattiker,R,19560606.0,ARG
Mike,Barr,R,19560627.0,USA
Eddie,Edwards,R,19560703.0,RSA
Mark,Darby,R,19560703.0,USA
Gianni,Marchetti,R,19560708.0,ITA
Christophe,Freyss,L,19560830.0,FRA
Werner,Zirngibl,R,19560904.0,GER
Steve,Denton,R,19560905.0,USA
John,Sadri,R,19560919.0,USA
Juan,Nunez,R,19560923.0,CHI
Bruce,Foxworth,R,19560925.0,USA
Stanislav,Birner,R,19561011.0,CZE
Leo,Palin,R,19561020.0,FIN
Tony,Graham,R,19561029.0,USA
Bill,Scanlon,R,19561113.0,USA
Jose Luis,Damiani,R,19561121.0,URU
Mehl,Ampon,R,19561130.0,USA
Tony,Lloyd,R,19561203.0,GBR
Ferdi,Taygan,R,19561205.0,USA
Carlos,Soares,R,19561213.0,BRA
Pedro,Gonzalez G162,R,19561218.0,PUR
Tracy,Delatte,R,19561222.0,USA
Jose,Lopez Maeso,R,19561224.0,ESP
Billy,Martin,R,19561225.0,USA
Jeff,Etterbeek,R,19561231.0,USA
Ben,Mckown,R,19570111.0,USA
Warren,Maher,R,19570115.0,AUS
Mike,Shore,R,19570120.0,USA
Maurice,Hunter,R,19570127.0,USA
Mark,Turpin,R,19570204.0,USA
Dominique,Bedel,R,19570220.0,FRA
Ashok,Amritraj,R,19570222.0,IND
Juan Carlos,Andrade,R,19570222.0,ESP
Mark,Vines,L,19570223.0,USA
Craig,Wittus,R,19570224.0,USA
Glenn,Petrovic,R,19570303.0,USA
Chris,Lewis Nzl,R,19570309.0,NZL
Matt,Mitchell,R,19570316.0,USA
Nigel,Sears,R,19570404.0,GBR
Gianni,Ocleppo,R,19570406.0,ITA
Pascal,Deniau,R,19570407.0,FRA
Reinhart,Probst,R,19570417.0,GER
Josef,Brabenec,R,19570424.0,CAN
Roberto,Vizcaino,R,19570425.0,ESP
Jochen,Settelmeyer,R,19570507.0,GER
Christophe,Casa,R,19570530.0,FRA
Pem,Guerry,R,19570606.0,USA
Tsuyoshi,Fukui,R,19570622.0,JPN
Christophe Roger,Vasselin,R,19570708.0,FRA
Renald,Etienne,R,19570714.0,USA
Chris,Delaney,R,19570716.0,USA
Larry,Stefanki,R,19570723.0,USA
Jaroslav,Navratil,R,19570724.0,CZE
Alan,Chandronnait,R,19570731.0,USA
John,Austin,R,19570731.0,USA
Eric,Sherbeck,R,19570807.0,USA
John,Picken,R,19570809.0,CAN
Wayne,Hampson,R,19570823.0,AUS
Charles Buzz,Strode,R,19570905.0,USA
Markus,Gunthardt,R,19570910.0,SUI
Klaus,Eberhard,R,19570915.0,GER
Chris,Mayotte,R,19570916.0,USA
Rohun,Beven,R,19570921.0,GBR
Gregoire,Rafaitin,R,19570926.0,FRA
Vincent,Van Patten,R,19571017.0,USA
Lorenzo,Fargas,R,19571019.0,ESP
Jerome,Vanier,L,19571102.0,FRA
Famiano,Meneschincheri,R,19571113.0,ITA
Howard,Schoenfield,R,19571115.0,USA
Curt,Stalder,R,19571120.0,USA
Peter,Spang,R,19571120.0,GER
Joakim,Berner,R,19571121.0,FIN
Franco,Merlone,R,19571216.0,ITA
Kevin,Manning,R,19571218.0,USA
Robert,Reininger,R,19580101.0,AUT
Hugo,Roverano,R,19580103.0,URU
Manfred,Jungnitsch,R,19580103.0,GER
Shlomo,Glickstein,R,19580106.0,ISR
Andrew,Jarrett,R,19580109.0,GBR
Matt,Doyle,R,19580113.0,USA
Ricardo,Acuna,R,19580113.0,CHI
Scott,Mccain,R,19580115.0,USA
Juan,Farrow,R,19580118.0,USA
Doug,Adler,L,19580120.0,USA
Chris,Dunk,R,19580123.0,USA
Erick,Iskersky,R,19580125.0,USA
Shozo,Shiraishi,R,19580127.0,JPN
Gilles,Moretton,R,19580210.0,FRA
Ricardo,Ycaza,R,19580216.0,ECU
Chris,Bradnam,R,19580226.0,GBR
Randy,Druz,R,19580226.0,USA
Kevin,Curren,R,19580302.0,USA
Andreas,Maurer,R,19580308.0,GER
Arnaud,Decugis,R,19580325.0,FRA
Johan,Kriek,R,19580405.0,USA
Paul,Avis,R,19580414.0,RSA
Steve,Meister,R,19580421.0,USA
Tony,Giammalva,R,19580421.0,USA
Fernando,Luna,R,19580424.0,ESP
Mike,Brunnberg,R,19580504.0,USA
Alejandro,Gattiker,R,19580505.0,ARG
Rick,Meyers,R,19580514.0,USA
Drew,Gitlin,R,19580526.0,USA
Jan,Kallquist,R,19580531.0,SWE
Geoff,Macdonald,R,19580605.0,USA
Peter,Elter,R,19580610.0,GER
Tony,Mmoh,R,19580614.0,NGR
Deon,Joubert,L,19580619.0,RSA
Eric,Fromm,R,19580627.0,USA
Rocky,Royer,R,19580627.0,USA
Ivan,Kley,R,19580629.0,BRA
Jeff,Lee,R,19580702.0,USA
Brad,Guan,R,19580710.0,AUS
Brad,Drewett,L,19580719.0,AUS
Norbert,Henn,R,19580802.0,GER
Nduka,Odizor,R,19580809.0,NGR
Matthew,Mcdonald,R,19580811.0,USA
Jose Luis,Clerc,R,19580816.0,ARG
Brian,Levine,R,19580820.0,RSA
Jai,Dilouie,R,19580911.0,USA
Rodney,Crowley,R,19580922.0,USA
Mike,Gandolfo,R,19581003.0,USA
Jacques,Manset,R,19581011.0,USA
Peter,Smylie,R,19581011.0,AUS
Tom,Cain,R,19581011.0,USA
Joel,Hoffman,R,19581014.0,USA
Cary,Stansbury,R,19581017.0,USA
Lloyd,Bourne,R,19581018.0,USA
Hitoshi,Shirato,R,19581019.0,JPN
Chip,Hooper,R,19581024.0,USA
John,Mattke,R,19581029.0,USA
Toru,Yonezawa,R,19581031.0,JPN
Marty,Davis,R,19581115.0,USA
Mark,Freedman,R,19581119.0,USA
Ney,Keller,R,19581202.0,BRA
Ron,Hightower,R,19581212.0,USA
Peter,Rennert,L,19581226.0,USA
Andy,Andrews,R,19590101.0,USA
John,Huebner,R,19590112.0,USA
Rory,Chappell,R,19590113.0,RSA
Brent,Pirow,R,19590206.0,RSA
Heinz,Gunthardt,R,19590208.0,SUI
Rick,Cowden,R,19590209.0,USA
John,Mcenroe,L,19590216.0,USA
Tom,Caine,R,19590228.0,USA
Jeff,Robbins,R,19590301.0,USA
Peter,Lamb,R,19590312.0,RSA
Van,Winitsky,L,19590312.0,USA
Eliot,Teltscher,R,19590315.0,USA
Steve,Guy,R,19590315.0,NZL
Pender,Murphy,R,19590319.0,USA
Harald,Theissen,R,19590323.0,GER
Reid,Freeman,R,19590404.0,USA
Matt,Horwitch,R,19590410.0,USA
Robert,Vant Hof,R,19590410.0,USA
Miloslav,Lacek,L,19590416.0,CZE
Kevin,Kerns,R,19590424.0,USA
Ronnie,Bathman,R,19590424.0,SWE
Bill,Cowan,R,19590428.0,CAN
Jay,Lapidus,L,19590501.0,USA
Wolfgang,Popp,R,19590519.0,GER
Bernard,Boileau,R,19590525.0,BEL
Pascal,Portes,R,19590528.0,FRA
Ricardo,Sanchez Rueda,R,19590606.0,ESP
Vallis,Wilder,R,19590608.0,USA
Roland,Stadler,U,19590614.0,SUI
Egan,Adams,R,19590615.0,USA
Charlie,Fancutt,R,19590617.0,AUS
Mike,Bauer,R,19590629.0,USA
Eduardo,Bengoechea,R,19590702.0,ARG
John,Benson,R,19590702.0,USA
Zoltan,Kuharszky,R,19590708.0,HUN
Eduard,Pana,R,19590717.0,ROU
Mel,Purcell,R,19590718.0,USA
Alvaro,Margets,R,19590726.0,ESP
Clarke,Diehl,R,19590728.0,USA
Massimo,Grassotti,R,19590808.0,ITA
Gianluca,Rinaldini,R,19590810.0,ITA
Andy,Kohlberg,L,19590817.0,USA
Bud,Schultz,R,19590821.0,USA
Leif,Shiras,R,19590821.0,USA
George,Kalovelonis,R,19590823.0,GRE
Eduardo,Osta,L,19590904.0,ESP
Larry,Barnett,R,19590904.0,USA
Patrizio,Parrini,R,19590905.0,ITA
Roger,Knapp,L,19590907.0,USA
Derek,Tarr,L,19590915.0,USA
Scott,Lipton,L,19590915.0,USA
Andy,Garcia,R,19590929.0,USA
George,Jarck,R,19591010.0,USA
Michiel,Schapers,R,19591011.0,NED
Tiger,Buford,R,19591021.0,USA
Gustavo,Guerrero,L,19591022.0,ARG
Tim,Wilkison,L,19591123.0,USA
Rolando,Vazquez,R,19591127.0,USA
Scott,Bondurant,R,19591205.0,USA
Larry,Gottfried,R,19591208.0,USA
Mark,Dickson,R,19591208.0,USA
Gustavo,Tiberti,R,19591211.0,ARG
Stefan,Hermann,R,19591213.0,GER
David,Mustard,L,19591229.0,NZL
Blaine,Willenborg,R,19600104.0,USA
Stefan,Simonsson,R,19600105.0,SWE
Jan,Van Langendonck,R,19600110.0,BEL
Juan Carlos,Yunis,R,19600117.0,ARG
Remi,Osho,R,19600119.0,NGR
Alexander,Zverev,R,19970420.0,GER
Huub,Van Boeckel,R,19600125.0,NED
Claudio,Panatta,R,19600202.0,ITA
Kiyotaka,Tachibana,R,19600202.0,JPN
Sadiq,Abdullahi,R,19600202.0,NGR
David,Dowlen,R,19600203.0,USA
Dirk,Vestweber,R,19600213.0,GER
Alejandro,Ganzabal,R,19600216.0,ARG
Cassio,Motta,R,19600222.0,BRA
