,name,address,city,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,clay,wall,grass,indoor,lights,stringing
Addison Pointe,La Costa Drive,west palm beach - boca raton,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.1409078,0,0,0,0,1,0
Churchill Park,Breckenridge Drive,dallas - fort worth,tx,Public,4,False,True,False,False,True,False,32,-96.7825663,0,1,0,0,1,0
Deer Valley High School,Lone Tree Way,san francisco - oakland - san jose,ca,Public,9,False,True,False,False,False,False,37,-121.7784154,0,1,0,0,0,0
Brookwood,Mighty Redwood Drive,houston - galveston - brazoria,tx,Homeowners Community,4,False,False,False,False,True,False,29,-95.1000595,0,0,0,0,1,0
Warren Place Park,Bosley Avenue,baltimore,md,Public,2,False,False,False,False,False,False,39,-76.639895,0,0,0,0,0,0
Nye Recreation Center,Sunset Lane,tampa-st. petersburg-clearwater,fl,Public,2,False,False,False,False,True,False,28,-82.4535996,0,0,0,0,1,0
Golden Palm Village,Tropical Court,orlando,fl,Homeowners Community,2,False,False,False,False,False,False,28,-81.7101395,0,0,0,0,0,0
Chatham Park,Old Glory Way,orlando,fl,Homeowners Community,2,False,False,False,False,False,False,28,-81.3239014,0,0,0,0,0,0
Rio Vista Park,Reynolds Street,austin-san marcos,tx,Public,6,False,True,False,False,True,False,29,-97.9343605,0,1,0,0,1,0
Affolter Park,Holly Avenue,denver,co,Public,4,False,True,False,False,True,False,40,-105.11613,0,1,0,0,1,0
Meadowdale High School,Place Southwest,seattle,wa,Public,5,False,False,False,False,False,False,47,-122.3164773,0,0,0,0,0,0
Wyndham Lakes,Preston Way Northwest,atlanta,ga,Homeowners Community,2,False,False,False,False,False,False,33,-84.7340941,0,0,0,0,0,0
Anderson Park,Farrell Avenue,los angeles,ca,Public,2,False,False,False,False,True,False,33,-118.3717203,0,0,0,0,1,0
Overlook Park,Tavern Road,cleveland,oh,Public,1,False,False,False,False,False,False,41,-81.0696709,0,0,0,0,0,0
Bayside Middle School,Newtown Road,norfolk-virginia beach,va,Public,4,False,True,False,False,False,False,36,-76.1598337,0,1,0,0,0,0
Old Stone Crossing at Caldwell Creek,Sidney Crest Avenue,charlotte,nc,Homeowners Community,2,False,False,False,False,False,False,35,-80.6967151,0,0,0,0,0,0
Coachmans Trail Neighborhood,Dunstable Court,raleigh-durham-chapel hill,nc,Homeowners Community,2,False,False,False,False,False,False,35,-78.6422181,0,0,0,0,0,0
Highview At Huntington,Highview Avenue,new york,ny,Homeowners Community,1,False,False,False,False,False,False,40,-73.4084237,0,0,0,0,0,0
Wyndmoor At Woodbridge,Cricket Lane,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.2858064,0,0,0,0,0,0
Eureka High School,Emerald Oaks Court,st. louis,mo,Public,8,False,True,False,False,False,False,38,-90.6314778,0,1,0,0,0,0
Lennox Middle School,West Place,los angeles,ca,Public,3,False,False,False,False,False,False,33,-118.3661306,0,0,0,0,0,0
Decatur High School,Southwest Street,seattle,wa,Public,4,False,False,False,False,False,False,47,-122.3694456,0,0,0,0,0,0
Highland,Highland Parkway,seattle,wa,Homeowners Community,1,False,False,False,False,False,False,47,-122.5188982,0,0,0,0,0,0
Rancho Villas,Jamacha Road,san diego,ca,Homeowners Community,2,False,False,False,False,True,False,32,-116.9275546,0,0,0,0,1,0
Quail Ridge,West Tarrant Road,dallas - fort worth,tx,Homeowners Community,2,False,False,False,False,False,False,32,-97.0312393,0,0,0,0,0,0
Oakbrook Village,Southwest Street,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,True,False,26,-80.2384007,0,0,0,0,1,0
Friendswood High School,West Castlewood Avenue,houston - galveston - brazoria,tx,Public,8,False,False,False,False,True,False,29,-95.2084744,0,0,0,0,1,0
Seven Locks Park,Locks Road,washington,dc,Public,3,False,True,False,False,True,False,38,-77.163438,0,1,0,0,1,0
Oak Knoll Middle School,Fort Myers Road,richmond-petersburg,va,Public,4,False,True,False,False,False,False,37,-77.384433,0,1,0,0,0,0
Providence at Palm Harbor,Kendra Way,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.7129316,0,0,0,0,1,0
Windwood Oaks,Windwood Oaks Drive,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.4604714,0,0,0,0,1,0
Sabal Palm at Carrollwood Place,Northgreen Avenue,tampa-st. petersburg-clearwater,fl,Homeowners Community,2,False,False,False,False,True,False,28,-82.5074422,0,0,0,0,1,0
The Landings at Belle Rive,Belle Rive Boulevard,jacksonville,fl,Homeowners Community,2,False,False,False,False,True,False,30,-81.5431237,0,0,0,0,1,0
Lake's Edge,Twin Wood Trc,orlando,fl,Homeowners Community,1,False,False,False,False,True,False,28,-81.3371944,0,0,0,0,1,0
Madison at Spring Woods,Regency Square Ap,jacksonville,fl,Homeowners Community,1,False,False,False,False,True,False,30,-81.543746,0,0,0,0,1,0
Oakdale Park,Granada Avenue North,minneapolis-st. paul,mn,Public,4,False,False,False,False,False,False,45,-92.974054,0,0,0,0,0,0
Village Green Park,Lumberton Mount Holly Road,philadelphia,pa,Public,2,False,False,False,False,False,False,39,-74.804728,0,0,0,0,0,0
Waterfront Elementary School,Village Court,buffalo-niagara falls,ny,Public,3,False,False,False,False,False,False,42,-78.886352,0,0,0,0,0,0
Crystal Lake South High School,Amberwood Drive,chicago,il,Public,10,False,False,False,False,False,False,42,-88.342727,0,0,0,0,0,0
Birch School,Dobson Avenue,new york,ny,Public,2,False,False,False,False,False,False,40,-73.561266,0,0,0,0,0,0
Quail Hollow Estates,Quail Hollow Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,False,False,34,-84.148289,0,0,0,0,0,0
Greentree Condominium,Webster Street,boston,ma,Homeowners Community,2,False,False,False,False,False,False,42,-70.9511554,0,0,0,0,0,0
Wildwood Apartments,Brookrun Drive,charlotte,nc,Homeowners Community,2,False,False,False,False,True,False,35,-80.862304,0,0,0,0,1,0
Robert V. Godbold Park,Northwest Maynard Road,raleigh-durham-chapel hill,nc,Public,6,False,False,False,False,True,False,35,-78.7905979,0,0,0,0,1,0
Rock Creek,Rock Creek West,raleigh-durham-chapel hill,nc,Homeowners Community,1,False,False,False,False,True,False,35,-79.0830338,0,0,0,0,1,0
East Alton-wood River High School,Whitelaw Avenue,st. louis,mo,Public,6,False,False,False,False,True,False,38,-90.0970209,0,0,0,0,1,0
Calabasas High School,Mulholland Highway,los angeles,ca,Public,8,False,False,False,False,False,False,34,-118.6296201,0,0,0,0,0,0
Memorial High School,Crenshaw Road,houston - galveston - brazoria,tx,Public,6,False,False,False,False,False,False,29,-95.1766849,0,0,0,0,0,0
Monterey Pines,Ragsdale Road,los angeles,ca,Homeowners Community,2,False,False,False,False,True,False,34,-117.2405362,0,0,0,0,1,0
Coolidge High School,West Northern Avenue,phoenix,az,Public,8,False,False,False,False,True,False,32,-111.5317011,0,0,0,0,1,0
Tatum Ranch,North Tatum Boulevard,phoenix,az,Homeowners Community,2,False,False,False,False,False,False,33,-111.9813466,0,0,0,0,0,0
Arroyo High School,Grant Avenue,san francisco - oakland - san jose,ca,Public,4,False,True,False,False,False,False,37,-122.1423268,0,1,0,0,0,0
Mills High School,Millbrae Avenue,san francisco - oakland - san jose,ca,Public,8,False,True,False,False,False,False,37,-122.3897874,0,1,0,0,0,0
Kentwood High School,Place Southeast,seattle,wa,Public,6,False,True,False,False,False,False,47,-122.1181333,0,1,0,0,0,0
Stonepoint,Stone Point Lane,san diego,ca,Homeowners Community,1,False,False,False,False,True,False,32,-116.9786882,0,0,0,0,1,0
Boyd H. Anderson High School,Northwest Avenue,miami-fort lauderdale,fl,Public,3,False,False,False,False,True,False,26,-80.1842308,0,0,0,0,1,0
Byrd Middle School,South Greenstone Lane,dallas - fort worth,tx,Public,4,False,True,False,False,True,False,32,-96.9333065,0,1,0,0,1,0
Park at Fox Trails,Roundrock Trail,dallas - fort worth,tx,Homeowners Community,2,False,False,False,False,True,False,33,-96.7446291,0,0,0,0,1,0
Apple Creek,West Sunrise Boulevard,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,True,False,26,-80.2483463,0,0,0,0,1,0
Hampton Bay,East Southwest Parkway,dallas - fort worth,tx,Homeowners Community,1,False,False,False,False,True,False,33,-96.9903946,0,0,0,0,1,0
The Trails At Dominion,Dominion Park Drive,houston - galveston - brazoria,tx,Homeowners Community,1,False,False,False,False,True,False,29,-95.426892,0,0,0,0,1,0
Tradewinds Middle School,Haverhill Road,west palm beach - boca raton,fl,Public,6,False,False,False,False,False,False,26,-80.1195735,0,0,0,0,0,0
Pheasant Creek,Tranquil Drive,houston - galveston - brazoria,tx,Homeowners Community,2,False,True,False,False,True,False,29,-95.6712091,0,1,0,0,1,0
Dixie Hollins High School,Avenue North,tampa-st. petersburg-clearwater,fl,Public,8,False,False,False,False,False,False,27,-82.7236176,0,0,0,0,0,0
Weeki Wachee High School,Vespa Way,tampa-st. petersburg-clearwater,fl,Public,3,False,False,False,False,False,False,28,-82.5492525,0,0,0,0,0,0
Meadowlake,West Lake Road,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.7350169,0,0,0,0,1,0
Mariners Wharf,Crossing Boulevard,jacksonville,fl,Homeowners Community,2,False,False,False,False,True,False,30,-81.7157078,0,0,0,0,1,0
Dunbar,Street Northwest,washington,dc,Public,3,False,False,False,False,True,False,38,-77.012621,0,0,0,0,1,0
Northeastern Illinois University,North Saint Louis Avenue,chicago,il,Public,6,False,False,False,False,False,False,41,-87.716528,0,0,0,0,0,0
Kenmore Park,Kenmore Avenue,washington,dc,Public,8,False,True,False,False,True,False,38,-77.4698675,0,1,0,0,1,0
Hickory Valley Condo,Country Drive,nashville,tn,Homeowners Community,1,False,False,False,False,False,False,36,-86.7077172,0,0,0,0,0,0
Countrybrook North Apartments,Countrybrook Drive,indianapolis,in,Homeowners Community,2,False,False,False,False,False,False,39,-86.1833453,0,0,0,0,0,0
Cottonwood Park,Cottonwood Lakes Boulevard,denver,co,Public,1,False,False,False,False,False,False,39,-104.9466312,0,0,0,0,0,0
Oxford Arms,Hana Road,new york,ny,Homeowners Community,1,False,False,False,False,False,False,40,-74.4076967,0,0,0,0,0,0
CastleBrook Apartments,South Dupont Highway,wilmington-newark,de,Homeowners Community,1,False,False,False,False,False,False,39,-75.6217074,0,0,0,0,0,0
Lake Front Park,Lakeshore Drive,detroit,mi,Public,10,False,False,False,False,True,False,42,-82.8799152,0,0,0,0,1,0
Stonehenge Gates Apartments,Ramsgate Road,detroit,mi,Homeowners Community,2,False,False,False,False,False,False,43,-83.8062242,0,0,0,0,0,0
Clinton Park,Pebble Creek Drive,detroit,mi,Public,2,False,False,False,False,False,False,42,-83.7203667,0,0,0,0,0,0
Pathfinder School,Highway,detroit,mi,Public,8,False,False,False,False,False,False,42,-83.9054847,0,0,0,0,0,0
Fort Stevens Recreation Center,Street Northwest,washington,dc,Public,4,False,False,False,False,False,False,38,-77.030103,0,0,0,0,0,0
Medway Middle School,Holliston Street,boston,ma,Public,6,False,True,False,False,False,False,42,-71.4056611,0,1,0,0,0,0
Highpoint Park,Midway Avenue,baltimore,md,Public,2,False,False,False,False,False,False,39,-76.5408039,0,0,0,0,0,0
La Center Community Park,East Ivy Avenue,portland,or,Public,1,False,False,False,False,False,False,45,-122.6614094,0,0,0,0,0,0
Goodrich Playground,Jerry Street,boston,ma,Public,3,False,False,False,False,False,False,42,-71.781503,0,0,0,0,0,0
Bridle Path Apartments,Warren Street,boston,ma,Homeowners Community,1,False,False,False,False,False,False,42,-71.0493886,0,0,0,0,0,0
Alpine Elementary School,Alpine Church Road Northwest,grand rapids,mi,Public,2,False,False,False,False,False,False,43,-85.7163727,0,0,0,0,0,0
Miamisburg by the Mall,Towson Boulevard,dayton-springfield,oh,Homeowners Community,2,False,False,False,False,False,False,39,-84.2334223,0,0,0,0,0,0
Shiloh Park,Markey Road,dayton-springfield,oh,Public,4,False,False,False,False,False,False,39,-84.2282188,0,0,0,0,0,0
Forest Ridge,Corkwood Drive,dayton-springfield,oh,Homeowners Community,2,False,False,False,False,False,False,39,-84.1193533,0,0,0,0,0,0
Canyon High School,Ranier Street,los angeles,ca,Public,6,False,True,False,False,True,False,34,-118.473537,0,1,0,0,1,0
Esteban Park,East Roeser Road,phoenix,az,Public,2,False,False,False,False,True,False,33,-112.0105505,0,0,0,0,1,0
Woodland Hills Park,Maple Lane,minneapolis-st. paul,mn,Public,1,False,False,False,False,False,False,45,-94.124432,0,0,0,0,0,0
Heather Farm Park,Ygnacio Valley Road,san francisco - oakland - san jose,ca,Public,10,False,True,False,False,True,True,37,-122.0404351,0,1,0,0,1,0
Mariner High School,Avenue West,seattle,wa,Public,6,False,False,False,False,True,False,47,-122.238028,0,0,0,0,1,0
McKinley Park,McKinley Boulevard,sacramento-yolo,ca,Public,8,False,False,False,False,True,False,38,-121.4601552,0,0,0,0,1,0
"California State University, Sacramento",Sinclair Road,sacramento-yolo,ca,Public,14,False,True,False,False,False,False,38,-121.426928,0,1,0,0,0,0
Gatehouse at Pine Lake,Southwest Terrace,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,True,False,26,-80.2568865,0,0,0,0,1,0
W.W. Samuell High School,Palisade Drive,dallas - fort worth,tx,Public,4,False,False,False,False,False,False,32,-96.6676927,0,0,0,0,0,0
Patricia Leblanc Park,Granbury Cut Off Street,dallas - fort worth,tx,Public,2,False,True,False,False,False,False,32,-97.4080789,0,1,0,0,0,0
Battery Lane Park,Battery Lane,washington,dc,Public,1,False,False,False,False,False,False,38,-77.100348,0,0,0,0,0,0
Cypress Woods,Cypress Springs Road,west palm beach - boca raton,fl,Homeowners Community,1,False,False,False,False,False,False,26,-80.182879,0,0,0,0,0,0
Forest Ridge Village,Forest Ridge Drive,jacksonville,fl,Homeowners Community,2,False,False,False,False,False,False,30,-81.4411461,0,0,0,0,0,0
Potomac Woods Park,Dunster Lane,washington,dc,Public,2,False,True,False,False,False,False,39,-77.165361,0,1,0,0,0,0
The Palms,Palm Bluff Drive,orlando,fl,Homeowners Community,2,False,False,False,False,False,False,28,-81.4765513,0,0,0,0,0,0
Plymouth Playfield,North Avenue,minneapolis-st. paul,mn,Public,4,False,False,False,False,True,False,45,-93.40354,0,0,0,0,1,0
Southport High School,Maynard Drive,indianapolis,in,Public,13,False,False,False,False,True,False,39,-86.143112,0,0,0,0,1,0
Johnson Park,River Street,new york,ny,Public,5,False,False,False,False,True,False,40,-74.037305,0,0,0,0,1,0
Farr Park,Avenue Court,denver,co,Public,2,False,False,False,False,True,False,40,-104.70113,0,0,0,0,1,0
Mather Park,West Peterson Avenue,chicago,il,Public,6,False,False,False,False,False,False,41,-87.702492,0,0,0,0,0,0
Sergeant Means Park,West Street,chicago,il,Public,4,False,True,False,False,False,False,41,-87.677518,0,1,0,0,0,0
Crawford Park,Parkway Drive,milwaukee,wi,Public,2,False,False,False,False,False,False,42,-87.803807,0,0,0,0,0,0
Plainfield High School - Central Campus,Fort Beggs Drive,chicago,il,Public,8,False,False,False,False,False,False,41,-88.209743,0,0,0,0,0,0
Woodcrest Commons,Valencia Drive,detroit,mi,Homeowners Community,2,False,False,False,False,False,False,42,-83.2719469,0,0,0,0,0,0
Waterworks Park,Lloyd Avenue,detroit,mi,Public,2,False,False,False,False,False,False,42,-83.1508505,0,0,0,0,0,0
Lake View Walk,Red Clover Lane,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-83.9911008,0,0,0,0,1,0
Tolleson Park,King Springs Road,atlanta,ga,Public,6,False,True,False,False,True,False,33,-84.5190775,0,1,0,0,1,0
Waterford Place,Blackberry Way,boston,ma,Homeowners Community,2,False,True,False,False,True,False,43,-71.4955902,0,1,0,0,1,0
The Meadows at Marlborough,Broadmeadow Street,boston,ma,Homeowners Community,1,False,False,False,False,True,False,42,-71.5102994,0,0,0,0,1,0
Claggett Middle School,East Homestead Street,cleveland,oh,Public,3,False,False,False,False,False,False,41,-81.8588841,0,0,0,0,0,0
Summerfield,Southwest Greens Way,portland,or,Homeowners Community,2,False,False,False,False,False,False,45,-122.7854562,0,0,0,0,0,0
Greene Tree,River Oaks Circle,baltimore,md,Homeowners Community,2,False,False,False,False,False,False,39,-76.7303824,0,0,0,0,0,0
Four Seasons Apartments,Pinewood Crescent,norfolk-virginia beach,va,Homeowners Community,2,False,False,False,False,False,False,37,-76.4095902,0,0,0,0,0,0
Stotzky Memorial Park,Columbus Avenue,new york,ny,Public,2,False,True,False,False,True,False,40,-72.6816845,0,1,0,0,1,0
Lowell High School,Lowell Area Trailways,grand rapids,mi,Public,8,False,True,False,False,False,False,42,-85.3799593,0,1,0,0,0,0
Leisure Ridge,Devon Street,new york,ny,Homeowners Community,2,False,False,False,False,True,False,40,-74.2705715,0,0,0,0,1,0
Wau-Lin-Cree Apartments,Northwest Street,kansas city,mo,Homeowners Community,3,False,False,False,False,False,False,39,-94.6265852,0,0,0,0,0,0
Seberger Park,Avenue North,minneapolis-st. paul,mn,Public,1,False,False,False,False,False,False,45,-94.182475,0,0,0,0,0,0
Sweetwater Ranch Village,East Pershing Avenue,phoenix,az,Homeowners Community,2,False,False,False,False,True,False,33,-111.8719554,0,0,0,0,1,0
Mission Dolores Park,Street,san francisco - oakland - san jose,ca,Public,6,False,False,False,False,True,False,37,-122.4270809,0,0,0,0,1,0
Ravenna-Eckstein Park,Avenue Northeast,seattle,wa,Public,1,False,True,False,False,False,False,47,-122.3047292,0,1,0,0,0,0
Darien High School,Hummingbird Lane,new york,ny,Public,5,False,False,False,False,False,False,41,-73.492484,0,0,0,0,0,0
The Manors of Inverrary,Inverrary Drive,miami-fort lauderdale,fl,Homeowners Community,4,False,False,False,False,True,False,26,-80.228219,0,0,0,0,1,0
Patios of Boca Barwood,Southwest Street,west palm beach - boca raton,fl,Homeowners Community,1,True,False,False,False,False,False,26,-80.1896918,1,0,0,0,0,0
Mark Twain Park,Larkspur Drive,dallas - fort worth,tx,Public,2,False,True,False,False,True,False,32,-96.7026472,0,1,0,0,1,0
WaterView,Kings Court,dallas - fort worth,tx,Homeowners Community,1,False,False,False,False,True,False,32,-96.5323269,0,0,0,0,1,0
Lone Star College-Montgomery,West Campus Drive,houston - galveston - brazoria,tx,Public,6,False,True,False,False,True,False,30,-95.4699898,0,1,0,0,1,0
Observatory Park,South Milwaukee Street,denver,co,Public,4,False,True,False,False,False,False,39,-104.95238,0,1,0,0,0,0
Quail Valley Thunderbird North,Turtle Creek Drive,houston - galveston - brazoria,tx,Homeowners Community,2,False,True,False,False,True,False,29,-95.5249536,0,1,0,0,1,0
Eagles Landing Middle School,Coral Ridge Drive,west palm beach - boca raton,fl,Public,3,False,False,False,False,False,False,26,-80.2261698,0,0,0,0,0,0
Grand Reserve,Sutton Park Drive North,jacksonville,fl,Homeowners Community,1,False,False,False,False,True,False,30,-81.4615309,0,0,0,0,1,0
Palm Springs View Estates,Encino Drive,los angeles,ca,Homeowners Community,2,False,True,False,False,True,False,33,-116.4783919,0,1,0,0,1,0
Lions Club Park,Louisiana Avenue North,minneapolis-st. paul,mn,Public,2,False,False,False,False,False,False,44,-93.370646,0,0,0,0,0,0
Mayfair Park,Carlton Lane,philadelphia,pa,Public,2,False,False,False,False,False,False,39,-74.881283,0,0,0,0,0,0
Community Fields Park,Limekiln Pike Road,philadelphia,pa,Public,4,False,False,False,False,False,False,40,-75.141538,0,0,0,0,0,0
Monessen City Park,City Park Road,pittsburgh,pa,Public,2,False,False,False,False,False,False,40,-79.872021,0,0,0,0,0,0
Highland Park,West Fairview Place,denver,co,Public,1,False,False,False,False,False,False,39,-105.02697,0,0,0,0,0,0
Brown Memorial Park,South Champlain Avenue,chicago,il,Public,2,False,False,False,False,True,False,41,-87.607641,0,0,0,0,1,0
Kunkel Park,Brevent Avenue,new york,ny,Public,3,False,False,False,False,False,False,40,-74.055501,0,0,0,0,0,0
John Hersey High School,North Waterman Avenue,chicago,il,Public,8,False,False,False,False,False,False,42,-87.95798,0,0,0,0,0,0
Lakefront Park,Park Avenue,chicago,il,Public,3,False,False,False,False,False,False,42,-87.750632,0,0,0,0,0,0
Stafford Pointe Apartments,Fairmead Road,indianapolis,in,Homeowners Community,2,False,False,False,False,True,False,39,-86.3739645,0,0,0,0,1,0
The Links At Sugar Hill,Links View Drive,atlanta,ga,Homeowners Community,1,False,False,False,False,False,False,34,-84.0739381,0,0,0,0,0,0
Whitlock West,New Haven Drive,atlanta,ga,Homeowners Community,1,False,False,False,False,True,False,33,-84.5846844,0,0,0,0,1,0
Boone Woods Park,Veterans Way,cincinnati,oh,Public,6,False,True,False,False,True,False,39,-84.7080123,0,1,0,0,1,0
California Park,Prentice Street,louisville,ky,Public,2,False,False,False,False,False,False,38,-85.7829881,0,0,0,0,0,0
Commons at Kingswood Station,Edinburg Lane,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.4248414,0,0,0,0,0,0
Northcroft Park,Kimberly Lane,chicago,il,Public,2,False,True,False,False,False,False,42,-87.847629,0,1,0,0,0,0
Lagana Field,Governor Thomas E. Dewey Thruway,new york,ny,Public,2,False,False,False,False,False,False,41,-73.854088,0,0,0,0,0,0
Van Ness Recreation Center,South Van Ness Avenue,los angeles,ca,Public,2,False,False,False,False,True,False,33,-118.3175611,0,0,0,0,1,0
Larson Park,West Kirkham Avenue,st. louis,mo,Public,2,False,False,False,False,False,False,38,-90.3688896,0,0,0,0,0,0
Patrician Woods,Cedar Street,kansas city,mo,Homeowners Community,1,False,False,False,False,False,False,38,-94.6423674,0,0,0,0,0,0
Skyline High School,East Pueblo Avenue,phoenix,az,Public,8,False,False,False,False,False,False,33,-111.6117167,0,0,0,0,0,0
Coronado Gardens,North Alvarado Road,phoenix,az,Homeowners Community,2,False,False,False,False,False,False,33,-112.0703101,0,0,0,0,0,0
Poughkeepsie High School,Forbus Street,new york,ny,Public,4,False,False,False,False,False,False,41,-73.914642,0,0,0,0,0,0
Mt Eden Park,Darwin Street,san francisco - oakland - san jose,ca,Public,4,False,False,False,False,True,False,37,-122.1008277,0,0,0,0,1,0
Deer Glen,Stoneybrook Lane,chicago,il,Homeowners Community,1,False,False,False,False,False,False,41,-88.059958,0,0,0,0,0,0
Arbolado Park,Vista Charonoaks,san francisco - oakland - san jose,ca,Public,3,False,False,False,False,False,False,37,-122.0014787,0,0,0,0,0,0
Lakewood Apartments at Lake Merced,John Muir Drive,san francisco - oakland - san jose,ca,Homeowners Community,2,False,False,False,False,True,False,37,-122.4949193,0,0,0,0,1,0
Happy Valley,Toledo Drive,san francisco - oakland - san jose,ca,Homeowners Community,2,False,False,False,False,False,False,37,-122.1358788,0,0,0,0,0,0
Southern Heights Park,Avenue South,seattle,wa,Public,2,False,False,False,False,False,False,47,-122.3159301,0,0,0,0,0,0
La Costa Meadowridge,Xana Way,san diego,ca,Homeowners Community,2,False,False,False,False,True,False,33,-117.2365129,0,0,0,0,1,0
Mohawk Hills Apartments,Mohawk Hills Drive,indianapolis,in,Homeowners Community,2,False,False,False,False,True,False,39,-86.1135113,0,0,0,0,1,0
Elderberry Sanctuary,Sugar Branch Drive,houston - galveston - brazoria,tx,Homeowners Community,1,False,False,False,False,False,False,29,-95.5561316,0,0,0,0,0,0
Pilgrim Hill Park,Laurie Drive,washington,dc,Public,2,False,True,False,False,False,False,39,-76.980118,0,1,0,0,0,0
Waterside Estates,Waterside Estates Circle,houston - galveston - brazoria,tx,Homeowners Community,2,False,False,False,False,True,False,29,-95.7358342,0,0,0,0,1,0
Northpointe,Northpointe Lane,west palm beach - boca raton,fl,Homeowners Community,1,False,False,False,False,False,False,26,-80.1371956,0,0,0,0,0,0
Dodd Trail Park,Flagstaff Avenue,minneapolis-st. paul,mn,Public,2,False,False,False,False,False,False,44,-93.198201,0,0,0,0,0,0
Zionsville Middle School,East South,indianapolis,in,Public,12,False,False,False,False,False,False,39,-86.2851942,0,0,0,0,0,0
Unity Park,Bayberry Lane,new york,ny,Public,4,False,False,False,False,False,False,41,-73.182023,0,0,0,0,0,0
Short Beach Park,Dorne Drive,new york,ny,Public,8,False,False,False,False,False,False,41,-73.11073,0,0,0,0,0,0
Harbor View at Port Jefferson,Vantage Court,new york,ny,Homeowners Community,1,True,False,False,False,False,False,40,-73.062408,1,0,0,0,0,0
Fireman's Park,Sibley Drive,buffalo-niagara falls,ny,Public,6,False,False,False,False,True,False,42,-78.734346,0,0,0,0,1,0
Jackie Robinson Park,Malcolm X Boulevard,new york,ny,Public,4,False,True,False,False,False,False,40,-73.92801,0,1,0,0,0,0
Little Plains Park,Tufts Place,new york,ny,Public,2,False,False,False,False,False,False,40,-73.379724,0,0,0,0,0,0
Alexandria Condominiums,Deanna Drive,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.6396434,0,0,0,0,0,0
The Hamlet,Wimbledon Court,new york,ny,Homeowners Community,1,True,False,False,False,False,False,40,-73.5664809,1,0,0,0,0,0
Highlands at Bridgegate,Culzean Way Northwest,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,34,-84.0939474,0,0,0,0,1,0
Tally Green,Tally Green Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.3958783,0,0,0,0,1,0
Lexington On The Green Apartments,Hillandale Drive,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.1507781,0,0,0,0,1,0
Battle Creek Village,Battlecreek Village Road,atlanta,ga,Homeowners Community,1,False,False,False,False,False,False,33,-84.3526947,0,0,0,0,0,0
South High Community School,Goddard Memorial Drive,boston,ma,Public,5,False,False,False,False,True,False,42,-71.8595767,0,0,0,0,1,0
Cornell Manor Apartments,Northwest Saltzman Road,portland,or,Homeowners Community,1,False,False,False,False,True,False,45,-122.8052509,0,0,0,0,1,0
Village 185 Apartments,Northwest Heritage Parkway,portland,or,Homeowners Community,2,False,True,False,False,False,False,45,-122.8637767,0,1,0,0,0,0
Lever Park,West Loveland Avenue,cincinnati,oh,Public,2,False,True,False,False,True,False,39,-84.2867982,0,1,0,0,1,0
Battle Forest Village,Regents Park Lane,greensboro-winston-salem,nc,Homeowners Community,2,False,False,False,False,True,False,36,-79.8362088,0,0,0,0,1,0
Peekskill High School,Elm Street,new york,ny,Public,2,False,False,False,False,False,False,41,-73.9167666,0,0,0,0,0,0
Chapel View,State Road,raleigh-durham-chapel hill,nc,Homeowners Community,2,False,False,False,False,True,False,35,-79.0594518,0,0,0,0,1,0
Spring Garden,Garden Crest Circle,raleigh-durham-chapel hill,nc,Homeowners Community,1,False,False,False,False,False,False,35,-78.6572599,0,0,0,0,0,0
Westbrooke Park,Westanna Drive,dayton-springfield,oh,Public,2,False,False,False,False,False,False,39,-84.3021834,0,0,0,0,0,0
Fox Hills Park,Uplander Way,los angeles,ca,Public,3,False,False,False,False,True,False,33,-118.3859682,0,0,0,0,1,0
Westpark,Dallas Drive,phoenix,az,Homeowners Community,1,False,False,False,False,False,False,33,-112.7870286,0,0,0,0,0,0
Cahalan Park,Homeward Place,san francisco - oakland - san jose,ca,Public,2,False,False,False,False,False,False,37,-121.8493009,0,0,0,0,0,0
Sunnyside Playground,Teresita Boulevard,san francisco - oakland - san jose,ca,Public,1,False,False,False,False,False,False,37,-122.4474549,0,0,0,0,0,0
Villa Martinique,Marigot Place,san diego,ca,Homeowners Community,2,False,False,False,False,False,False,32,-117.0936048,0,0,0,0,0,0
Almaden Place,Briar Ridge Lane,sacramento-yolo,ca,Homeowners Community,1,False,False,False,False,True,False,38,-121.2652981,0,0,0,0,1,0
Bladensburg High School,Avenue,washington,dc,Public,3,False,False,False,False,False,False,38,-76.919859,0,0,0,0,0,0
