,first_name,last_name,flag_code,residence,birthplace,birthdate,birth_year,turned_pro,weight_kg,height_cm,handedness,backhand
57,Steven,Alger,BER,0,Bermuda,0,0.0,0.0,84.0,188.0,0,0
58,Haim,Arlozorov,ISR,0,0,0,0.0,0.0,0.0,0.0,0,0
59,Paul,Avis,RSA,0,"Springs, South Africa",19580414,1958.0,0.0,0.0,0.0,0,0
60,Unknown,Unknown,0,0,0,0,0.0,0.0,0.0,0.0,0,0
61,Michael,Appleton,GBR,0,"Lancashire, England",19690101,1969.0,0.0,0.0,0.0,0,0
62,William,Alvarez,COL,0,"Medellin, Colombia",19341215,1934.0,0.0,83.0,178.0,0,0
63,Jose Luis,Arilla,ESP,0,0,0,0.0,0.0,0.0,0.0,0,0
64,Mohammad Hossein,Akbari,IRI,0,0,0,0.0,0.0,0.0,0.0,0,0
65,Bob,Alloo,USA,0,"Overland Park, KS, U.S.A.",19490507,1949.0,0.0,0.0,0.0,0,0
66,Jose,Ayala,MEX,0,"Guadalajara, Mexico",19701222,1970.0,0.0,76.0,180.0,0,0
67,Malcolm,Allen,USA,0,"Los Angeles, CA",19670713,1967.0,0.0,70.0,178.0,0,0
68,Tino,Anda,ESP,0,"Zaragoza, Spain",19680416,1968.0,0.0,66.0,180.0,0,0
69,Taghi,Akbari,IRI,0,0,0,0.0,0.0,0.0,0.0,0,0
70,Jose Francisco,Altur,ESP,"Valencia, Spain","Valencia, Spain",19680324,1968.0,1985.0,81.0,191.0,0,0
71,Eric,Amend,USA,0,"Berkeley, CA",19651117,1965.0,0.0,70.0,180.0,0,0
72,John,Antonas,BAH,0,0,0,0.0,0.0,0.0,0.0,0,0
73,Bengt,Aberg,SWE,0,0,0,0.0,0.0,0.0,0.0,0,0
74,Pablo,Albano,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",19670411,1967.0,1986.0,79.0,178.0,0,0
75,Jose-Luis,Aparisi,ESP,0,"Valencia, Spain",19690311,1969.0,0.0,66.0,178.0,0,0
76,Adam,Anderson,AUS,0,"Sydney, Australia",19691221,1969.0,0.0,73.0,180.0,0,0
77,Johan,Anderson,AUS,0,"Vasteras, Sweden",19710929,1971.0,0.0,78.0,183.0,0,0
78,Ian,Aler,USA,0,"Costa Mesa, CA, U.S.A.",19651111,1965.0,0.0,0.0,0.0,0,0
79,Zeeshan,Ali,IND,0,"Calcutta, India",19700101,1970.0,0.0,66.0,180.0,0,0
80,Alejandro,Aramburu,PER,0,"Lima, Peru",19690214,1969.0,0.0,64.0,175.0,0,0
81,Kim,Andersson,SWE,0,0,0,0.0,0.0,0.0,0.0,0,0
82,Jan,Apell,SWE,"Kungsbacka,Sweden","Goteborg, Sweden",19691104,1969.0,1988.0,73.0,183.0,0,0
83,David,Adams,RSA,"Cape Town, South Africa","Durban, South Africa",19700105,1970.0,1989.0,79.0,188.0,0,0
84,Massimo,Ardinghi,ITA,"Florence, Italy","Genova, Italy",19710306,1971.0,1988.0,71.0,175.0,0,0
85,Johan,Alven,SWE,0,0,19720113,1972.0,0.0,0.0,0.0,0,0
86,John,Arbanas,AUS,0,0,19700207,1970.0,0.0,0.0,0.0,0,0
87,Carsten,Arriens,GER,"Munich, Germany","Frankfurt, Germany",19690411,1969.0,1991.0,81.0,193.0,0,0
88,Emilio,Benfele Alvarez,ESP,"Munich, Gemany","Figeras, Spain",19721115,1972.0,1989.0,85.0,183.0,0,0
89,Chuck,Adams,USA,"Pacific Palisades, CA","Pacific Palisades, CA",19710423,1971.0,1990.0,81.0,185.0,0,0
90,Wayne,Arthurs,AUS,"Melbourne, Australia","Adelaide, S.A., Australia",19710318,1971.0,1990.0,80.0,191.0,0,0
91,Karim,Alami,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",19730524,1973.0,1990.0,85.0,185.0,0,0
92,Roberto,Alvarez,ARG,0,0,19710223,1971.0,0.0,0.0,0.0,0,0
93,Stephane,Andriolo,FRA,0,0,0,0.0,0.0,0.0,0.0,0,0
94,Xavier,Avila,ESP,"Ponte Vedra Beach, FL","Lleida, Spain",19731210,1973.0,0.0,73.0,183.0,0,0
95,Yenesi,Allen,NIG,0,0,0,0.0,0.0,0.0,0.0,0,0
96,Lawrence,Awopegba,NIG,0,0,0,0.0,0.0,0.0,0.0,0,0
97,Patricio,Arnold,ARG,0,"Buenos Aires, Argentina",19711020,1971.0,0.0,73.0,183.0,0,0
98,Hicham,Arazi,MAR,"Monte Carlo, Monaco","Casablanca, Morocco",19731019,1973.0,1993.0,65.0,175.0,0,0
99,Lucas,Arnold Ker,ARG,"Barcelona, Spain","Buenos Aires, Argentina",19741012,1974.0,1994.0,76.0,180.0,0,0
100,Pietro,Angelini,ITA,0,0,19711207,1971.0,0.0,0.0,0.0,0,0
101,Thomas,Andersen,DEN,0,0,0,0.0,0.0,0.0,0.0,0,0
102,Nasser-Ghanim,Al-Khulaifi,QAT,0,0,19731112,1973.0,0.0,0.0,0.0,0,0
103,Charles,Auffray,FRA,0,0,19730224,1973.0,1996.0,83.0,183.0,0,0
104,Julian,Alonso,ESP,"Monte Carlo, Monaco","Canet de Mar, Spain",19770802,1977.0,1996.0,82.0,185.0,0,0
105,Jan Frode,Andersen,NOR,"Oslo, Norway","Asker, Norway",19720829,1972.0,1997.0,85.0,191.0,Left-Handed,Two-Handed Backhand
106,Henrik,Andersson,SWE,0,0,19770502,1977.0,0.0,0.0,0.0,0,0
107,Yves,Allegro,SUI,"Grone, Switzerland","Grone, Switzerland",19780824,1978.0,1997.0,82.0,183.0,0,0
108,Leonardo,Azzaro,ITA,"Florence, Italy","Florence, Italy",19780530,1978.0,1997.0,75.0,188.0,0,0
109,Jacob,Adaktusson,SWE,"Stockholm, Sweden","Stockholm, Sweden",19800831,1980.0,0.0,87.0,193.0,0,0
110,Florian,Allgauer,ITA,0,0,19790107,1979.0,0.0,0.0,0.0,0,0
111,Emin,Agaev,AZE,"Monte Carlo, Monaco",0,19790514,1979.0,1999.0,77.0,0.0,0,0
112,Diego,Ayala,USA,"Coral Springs, Florida, USA","Cordoba, Argentina",19790429,1979.0,1998.0,77.0,175.0,0,0
113,Hugo,Armando,USA,"Bradenton, Florida, USA","Miami, Florida, USA",19780527,1978.0,1997.0,82.0,183.0,Right-Handed,One-Handed Backhand
114,Patricio,Arquez,ARG,0,0,19800412,1980.0,0.0,0.0,0.0,0,0
115,Simon,Aspelin,SWE,"London, England","Saltsjobaden, Sweden",19740511,1974.0,1998.0,79.0,185.0,0,0
116,Francesco,Aldi,ITA,"Palermo, Italy","Palermo, Italy",19810917,1981.0,1999.0,75.0,175.0,0,0
117,Thierry,Ascione,FRA,rueil malmaison,"Villeurbanne, France",19810117,1981.0,2000.0,89.0,188.0,Right-Handed,One-Handed Backhand
118,Diego,Alvarez,ARG,0,0,19800306,1980.0,0.0,0.0,0.0,0,0
119,James,Auckland,GBR,London,Norwich,19800401,1980.0,1999.0,79.0,0.0,0,0
120,Clayton,Almeida,BRA,0,0,19801226,1980.0,0.0,0.0,0.0,0,0
121,Mario,Ancic,CRO,"Monte Carlo, Monaco","Split, Croatia",19840330,1984.0,2001.0,82.0,196.0,Right-Handed,Two-Handed Backhand
122,Jose,Acasuso,ARG,"Buenos Aires, Argentina","Posadas-Misiones, Argentina",19821020,1982.0,1999.0,86.0,191.0,Right-Handed,One-Handed Backhand
123,Artemon,Apostu-Efremov,ROU,0,0,19790619,1979.0,0.0,0.0,0.0,0,0
124,Maximilian,Abel,GER,"Frankfurt, Germany","Frankfurt, Germany",19820228,1982.0,0.0,76.0,0.0,0,0
125,Johannes,Ager,AUT,"Kramsach, Austria","Brixlegg, Austria",19840310,1984.0,2003.0,80.0,196.0,0,0
126,Thiago,Alves,BRA,"Sao Jose do Rio Preto, Brazil","Sao Jose do Rio Preto, Brazil",19820522,1982.0,2000.0,75.0,178.0,Right-Handed,Two-Handed Backhand
127,Alfredo,Acuna,PER,0,0,19461122,1946.0,0.0,0.0,0.0,0,0
128,Andrea,Agazzi,ITA,0,Rovato (Brescia),19820723,1982.0,0.0,0.0,0.0,0,0
129,Patricio,Apey,CHI,0,0,0,0.0,0.0,0.0,0.0,0,0
130,Andrew,Anderson,RSA,"Johannesburg, South Africa","Johannesburg, South Africa",19830408,1983.0,2002.0,79.0,193.0,0,0
131,Bob,Abbott,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
132,Kenneth,Andersson,SWE,0,0,0,0.0,0.0,0.0,0.0,0,0
133,Ernesto,Aguirre,CHI,0,0,0,0.0,0.0,0.0,0.0,0,0
134,Jorge,Aguilar,CHI,"Santiago, Chile","Santiago, Chile",19850108,1985.0,0.0,68.0,178.0,Right-Handed,Two-Handed Backhand
135,Mariano,Albert-Ferrando,ESP,0,0,19820426,1982.0,0.0,0.0,0.0,0,0
136,Jae-Sung,An,KOR,0,0,19850528,1985.0,0.0,0.0,0.0,0,0
137,Nicolas,Almagro,ESP,"Murcia, Spain","Murcia, Spain",19850821,1985.0,2003.0,86.0,183.0,Right-Handed,One-Handed Backhand
138,Jack,Acheson,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
139,Rich,Anderson,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
140,Prakash,Amritraj,IND,"Encino, CA, USA","Los Angeles, CA, USA",19831002,1983.0,2003.0,75.0,188.0,0,0
141,Karim,Alayli,LIB,0,0,19830324,1983.0,0.0,0.0,0.0,0,0
142,Juan-Martin,Aranguren,ARG,0,0,19831007,1983.0,0.0,0.0,0.0,0,0
143,Omar ,Alawadhi,UAE,0,"Dubai, United Arab Emirates",19820116,1982.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
144,Musaad,Al Jazzaf,KUW,0,0,19840420,1984.0,0.0,0.0,0.0,0,0
145,Igor,Andreev,RUS,"Moscow, Russia","Moscow, Russia",19830714,1983.0,2002.0,80.0,185.0,Right-Handed,Two-Handed Backhand
146,Marc,Auradou,FRA,0,0,19840709,1984.0,0.0,0.0,0.0,0,0
147,Stephen,Amritraj,IND,0,0,19840328,1984.0,0.0,0.0,0.0,0,0
148,Martin,Alund,ARG,"Mendoza, Argentina","Mendoza, Argentina",19851226,1985.0,0.0,80.0,183.0,Right-Handed,One-Handed Backhand
149,George,Andrews,CAN,0,0,0,0.0,0.0,0.0,0.0,0,0
150,John,Allgood,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
151,Stephen,Avoyer,USA,0,"San Diego, CA",19480428,1948.0,0.0,0.0,0.0,0,0
152,Haythem,Abid,TUN,0,0,19850717,1985.0,0.0,0.0,0.0,Left-Handed,Two-Handed Backhand
153,Hugo,Anao,POR,0,0,0,0.0,0.0,0.0,0.0,0,0
154,Ali,Ghareeb,KUW,0,0,19860316,1986.0,0.0,0.0,0.0,0,0
155,Khalid,Al Nabhani,OMA,0,0,19820902,1982.0,0.0,0.0,0.0,0,0
156,Pablo,Andujar,ESP,"Valencia, Spain","Cuenca, Spain",19860123,1986.0,2003.0,76.0,180.0,Right-Handed,Two-Handed Backhand
157,Theodoros,Angelinos,GRE,0,0,19840529,1984.0,0.0,0.0,0.0,0,0
158,Mohammed,Abdulla,QAT,0,0,19850523,1985.0,0.0,0.0,0.0,0,0
159,Andrea,Arnaboldi,ITA,"Cantu, Italy","Milan, Italy",19871227,1987.0,2006.0,72.0,180.0,Left-Handed,One-Handed Backhand
160,Rafael,Arevalo,ESA,0,0,19860704,1986.0,0.0,0.0,0.0,0,0
161,Ali,El Alaoui,MAR,0,0,19860221,1986.0,0.0,0.0,0.0,0,0
162,Bob,Adams,0,0,0,0,0.0,0.0,0.0,0.0,0,0
163,Victor-Mugurel,Anagnastopol,ROU,0,0,19860323,1986.0,0.0,0.0,0.0,0,0
164,Beyazit,Anbar,TUR,0,0,0,0.0,0.0,0.0,0.0,0,0
165,Roberto,Aubone,ARG,0,0,0,0.0,0.0,0.0,0.0,0,0
166,Ardyanto ,Suta-Wibawa,INA,0,0,0,0.0,0.0,0.0,0.0,0,0
167,Mohammed,Al Nabhani,OMA,0,0,19850901,1985.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
168,Orhan,Atas,TUR,0,0,0,0.0,0.0,0.0,0.0,0,0
169,Cahit,Atas,TUR,0,0,0,0.0,0.0,0.0,0.0,0,0
170,Ricardo,Aubone,ARG,0,0,0,0.0,0.0,0.0,0.0,0,0
171,Aleksandr,Agafonov,UKR,0,0,19860223,1986.0,0.0,0.0,0.0,0,0
172,Guillermo,Alcaide,ESP,"Sanxenxo, Spain","Madrid, Spain",19860527,1986.0,0.0,77.0,188.0,Right-Handed,Two-Handed Backhand
173,Juan-Pablo,Amado,ARG,"Buenos Aires, Argentina","Mar Del Plata, Argentina",19860402,1986.0,0.0,0.0,0.0,0,0
174,John,Adams,0,0,0,0,0.0,0.0,0.0,0.0,0,0
175,Kevin,Anderson,RSA,"Gulf Stream, FL, USA","Johannesburg, South Africa",19860518,1986.0,2007.0,93.0,203.0,Right-Handed,Two-Handed Backhand
176,Ivan,Anikanov,UKR,0,0,19880315,1988.0,0.0,0.0,0.0,0,0
177,Adnan,Al Mahmoud,ROU,Romania,0,19880606,1988.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
178,Gleb,Alekseenko,UKR,Ukraine,"Izmail, Ukraine",19830519,1983.0,0.0,85.0,191.0,0,0
179,Syrym,Abdukhalikov,KAZ,Kazakhstan,0,19870807,1987.0,0.0,0.0,0.0,0,0
180,Bruno,Agostinelli,CAN,Canada,0,19870401,1987.0,0.0,0.0,0.0,0,0
181,Vadim,Alekseenko,UKR,"Odessa, Ukraine","Odessa, Ukraine",19830519,1983.0,0.0,85.0,191.0,Right-Handed,Two-Handed Backhand
182,Arnaud,Agniel,FRA,0,0,19820123,1982.0,0.0,0.0,0.0,0,0
183,Jean,Andersen,RSA,0,0,19880617,1988.0,0.0,0.0,0.0,0,0
184,Ahmed,Abdrabuh,SYR,0,0,19850523,1985.0,0.0,0.0,0.0,0,0
185,Pedro,Ast,VEN,0,0,19880812,1988.0,0.0,0.0,0.0,0,0
186,Hashim,Abdal,KUW,0,0,19891126,1989.0,0.0,0.0,0.0,0,0
187,Jean-Yves,Aubone,USA,"Miami, Florida, USA","Miami, Florida, USA",19880110,1988.0,0.0,73.0,178.0,Right-Handed,One-Handed Backhand
188,Tuna,Altuna,TUR,"Istanbul, Turkey","Istanbul, Turkey",19890130,1989.0,0.0,80.0,185.0,Right-Handed,Two-Handed Backhand
189,Ivan,Arenas-Gualda,ESP,0,0,19901031,1990.0,0.0,0.0,0.0,0,0
190,Maxime,Authom,BEL,0,0,19870329,1987.0,0.0,0.0,0.0,0,0
191,Iain,Atkinson,GBR,0,0,19881002,1988.0,0.0,0.0,0.0,0,0
192,Mauricio,Astorga,MEX,"Cancun, Mexico","Mexico City, Mexico",19910619,1991.0,0.0,74.0,0.0,Left-Handed,One-Handed Backhand
193,Miles,Armstrong,AUS,0,0,19860416,1986.0,0.0,0.0,0.0,0,0
194,Guillermo,Alcorta-Olarra,ESP,0,0,19890616,1989.0,0.0,0.0,0.0,0,0
195,Bogdan,Andrii,ROU,0,0,19890630,1989.0,0.0,0.0,0.0,0,0
196,Radu,Albot,MDA,"Chisinau, Moldova","Chisinau, Moldova",19891111,1989.0,2008.0,69.0,175.0,Right-Handed,Two-Handed Backhand
197,Toni,Androic,CRO,"Zagreb, Croatia","Pula, Croatia",19911228,1991.0,2010.0,73.0,168.0,Right-Handed,Two-Handed Backhand
198,Marcelo,Arevalo,ESA,"Sonsonate, El Salvador","Sonsonate, El Salvador",19901017,1990.0,2012.0,86.0,191.0,Right-Handed,Two-Handed Backhand
199,Danila,Arsenov,RUS,"Moscow, Russia","Tver, Russia",19890609,1989.0,0.0,70.0,183.0,0,0
200,Miguel,Almeida,POR,0,0,19920629,1992.0,0.0,0.0,0.0,0,0
201,Guido,Andreozzi,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",19910805,1991.0,2010.0,77.0,183.0,Right-Handed,Two-Handed Backhand
202,Hamad Abbas,Janahi,UAE,0,0,19900804,1990.0,0.0,0.0,0.0,0,0
203,Jasmin,Ademovic,BIH,0,0,19910824,1991.0,0.0,0.0,0.0,0,0
204,Omar,Aboushalam,MAR,0,0,0,0.0,0.0,0.0,0.0,0,0
205,Facundo,Arguello,ARG,"Cordoba, Argentina","Cordoba, Argentina",19920804,1992.0,0.0,77.0,178.0,Right-Handed,Two-Handed Backhand
206,Vugar,Aliev,RUS,0,0,19930903,1993.0,0.0,0.0,0.0,0,0
207,Vasile,Antonescu,ROU,"Constanta, Romania","Constanta, Romania",19900324,1990.0,0.0,82.0,183.0,Right-Handed,Two-Handed Backhand
208,Matthew,Allare,USA,0,0,19890319,1989.0,0.0,0.0,0.0,0,0
209,Anthony,Assal,USA,0,0,19920602,1992.0,0.0,0.0,0.0,0,0
210,Hamza,Aglaib,MAR,0,0,19900310,1990.0,0.0,0.0,0.0,0,0
211,Elwin,Antony,IND,0,0,19911006,1991.0,0.0,0.0,0.0,0,0
212,Jack,Anton,USA,0,0,19910925,1991.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
213,Renato,Assad,BRA,0,0,19921003,1992.0,0.0,0.0,0.0,0,0
214,Aitor,Aramburu,MEX,0,0,19911130,1991.0,0.0,0.0,0.0,0,0
215,Hamad,Al Mulla,QAT,0,0,19920816,1992.0,0.0,0.0,0.0,0,0
216,Mohamed,Adnaoui,MAR,"Casablanca, Morocco","Casablanca, Morocco",19841209,1984.0,0.0,78.0,185.0,Right-Handed,One-Handed Backhand
217,Kalle,Averfalk,SWE,0,0,19920407,1992.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
218,Romain,Arneodo,MON,0,"Cannes, France",19920804,1992.0,0.0,70.0,175.0,Right-Handed,Two-Handed Backhand
219,Isak,Arvidsson,SWE,"Båstad, Sweden",Hjo,19920806,1992.0,0.0,79.0,188.0,Right-Handed,Two-Handed Backhand
220,Andres,Artunedo Martinavarro,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",19930914,1993.0,2011.0,75.0,183.0,Right-Handed,Two-Handed Backhand
221,Albert,Alcaraz Ivorra,ESP,"San Juan de Alicante, Spain","San Juan de Alicante, Spain",19950515,1995.0,0.0,85.0,191.0,Right-Handed,Two-Handed Backhand
222,Abdulrahman,Al Harib,QAT,0,0,19950124,1995.0,0.0,0.0,0.0,0,0
223,Osvaldo,Aguirre,CHI,0,0,19860312,1986.0,0.0,0.0,0.0,0,0
224,Khalid,Allouch,MAR,0,0,19910603,1991.0,0.0,0.0,0.0,0,0
225,Andrew,Adams,USA,0,0,19930318,1993.0,0.0,0.0,0.0,0,0
226,Andrei Stefan,Apostol,ROU,Romania ,"Bucharest, Romania",19950225,1995.0,0.0,74.0,0.0,Right-Handed,Two-Handed Backhand
227,Ahmed Deedat,Abdul Razak,MAS,0,0,19950618,1995.0,0.0,0.0,0.0,0,0
228,Bogdan Ionut,Apostol,ROU,0,0,19960117,1996.0,0.0,0.0,0.0,0,0
229,Roberto,Affonso,BRA,0,0,19940209,1994.0,0.0,75.0,170.0,0,0
230,Jabor,Al-Mutawa,QAT,0,0,19940527,1994.0,0.0,0.0,0.0,0,0
231,Mubarak Shannan,Zayid,QAT,0,0,19950414,1995.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
232,Ali,Al-Saygh,QAT,0,0,19960212,1996.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
233,Manuel,Arias,COL,0,0,19970521,1997.0,0.0,0.0,0.0,0,0
234,Collin,Altamirano,USA,"Sacramento, California","Sacramento, California",19951207,1995.0,0.0,84.0,188.0,Right-Handed,Two-Handed Backhand
235,Jay,Andrijic,AUS,0,0,19951003,1995.0,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand
236,Abdulla,Al Mohamoud,QAT,0,0,19961102,1996.0,0.0,0.0,0.0,0,0
237,Abdulla,Al-Jufairi,QAT,0,0,19970829,1997.0,0.0,0.0,0.0,0,0
238,Jassem,Al Zeyara,QAT,0,0,19971209,1997.0,0.0,0.0,0.0,0,0
239,Sarp,Agabigun,TUR,0,"Istanbul, Turkey",19970612,1997.0,0.0,75.0,178.0,Right-Handed,Two-Handed Backhand
240,R.,Armytage,GBR,0,0,0,0.0,0.0,0.0,0.0,0,0
241,T.,Ayling,GBR,0,0,0,0.0,0.0,0.0,0.0,0,0
242,J.,Adams,USA,0,0,0,0.0,0.0,0.0,0.0,0,0
243,Antonio,Andrade,ESP,0,0,0,0.0,0.0,0.0,0.0,0,0
244,Athanasios,Anastopoulos,GRE,0,0,19580205,1958.0,0.0,0.0,0.0,0,0
245,Unknown,Akhtar,0,0,0,0,0.0,0.0,0.0,0.0,0,0
246,Shirzad,Akbari,IRI,0,0,0,0.0,0.0,0.0,0.0,0,0
247,Budiman,Aznar,INA,0,0,0,0.0,0.0,0.0,0.0,0,0
248,Oliver,Anderson,AUS,"Brisbane, Australia","Brisbane, Australia",19980430,1998.0,0.0,73.0,175.0,Right-Handed,Two-Handed Backhand
249,Daniel,Appelgren,SWE,"Stockholm, Sweden","Borås, Sweden",19960506,1996.0,0.0,67.0,175.0,Right-Handed,Two-Handed Backhand
250,B.,Akbari,IRI,0,0,0,0.0,0.0,0.0,0.0,0,0
251,Unknown,Alvarez,0,0,0,0,0.0,0.0,0.0,0.0,0,0
252,G.,Atwell,GBR,0,0,0,0.0,0.0,0.0,0.0,0,0
