,first_name,last_name,hand,birth_date,country_code,age
94,Tony,Bardsley,R,1945-02-09,CAN,79.0
95,Peter,Burwash,R,1945-02-10,CAN,79.0
96,Nicholas,Kalogeropoulos,R,1945-02-18,GRE,79.0
97,Ove Nils,Bengtson,R,1945-04-05,SWE,79.0
98,Thomaz,Koch,L,1945-05-11,BRA,79.0
99,Tony,Roche,L,1945-05-17,AUS,79.0
100,Mike,Belkin,R,1945-06-29,CAN,79.0
101,Joaquin Loyo,Mayo,R,1945-08-16,MEX,79.0
102,Peter,Curtis,R,1945-08-29,GBR,79.0
103,D Richard,Russell,R,1945-09-08,JAM,79.0
104,Allan,Stone,R,1945-10-14,AUS,79.0
105,Graham,Stilwell,R,1945-11-15,GBR,79.0
106,Robert,Rheinberger,R,1945-11-18,AUS,79.0
107,Chris,Bovett,R,1945-12-25,GBR,79.0
108,Jun,Kuki,R,1945-12-28,JPN,79.0
109,Terry,Addison,R,1946-01-11,AUS,78.0
110,Ray,Keldie,R,1946-01-17,AUS,78.0
111,John,Clifton,R,1946-02-19,GBR,78.0
112,Jan,Kodes,R,1946-03-01,CZE,78.0
113,Ray,Ruffels,R,1946-03-23,AUS,78.0
114,Jaime,Fillol,R,1946-06-03,CHI,78.0
115,Sherwood,Stewart,R,1946-06-06,USA,78.0
116,Butch,Seewagen,R,1946-06-13,USA,78.0
117,Ivan,Molina,L,1946-06-16,COL,78.0
118,Ilie,Nastase,R,1946-07-19,ROU,78.0
119,Robert,Maud,R,1946-08-12,RSA,78.0
120,Raymond,Moore,R,1946-08-24,RSA,78.0
121,Julian,Ganzabal,R,1946-08-25,ARG,78.0
122,Patrick,Hombergen,R,1946-09-08,BEL,78.0
123,Steve,Turner,R,1946-10-17,USA,78.0
124,John,Cooper,R,1946-11-04,AUS,78.0
125,Stan,Smith,R,1946-12-14,USA,78.0
126,Tom,Gorman,R,1946-12-19,USA,78.0
127,Cliff,Richey,R,1946-12-31,USA,78.0
128,Jean Baptiste,Chanfreau,R,1947-01-17,FRA,77.0
129,Vladimir,Zednik,R,1947-02-01,CZE,77.0
130,Guillermo,Oropez,R,1947-02-07,USA,77.0
131,Armistead,Neely,R,1947-03-19,USA,77.0
132,Pat,Cramer,R,1947-03-21,RSA,77.0
133,Roy,Barth,R,1947-03-30,USA,77.0
134,Onny,Parun,R,1947-04-15,NZL,77.0
135,Humphrey,Hose,R,1947-05-04,VEN,77.0
136,Han Jurgen,Pohmann,R,1947-05-23,GER,77.0
137,Dan,Bleckinger,R,1947-05-27,USA,77.0
138,Gerald,Battrick,R,1947-05-27,GBR,77.0
139,Steve,Faulk,R,1947-06-01,USA,77.0
140,Zeljko,Franulovic,R,1947-06-13,CRO,77.0
141,Peter,Szoke,R,1947-08-08,HUN,77.0
142,Peter,Fishbach,R,1947-08-29,USA,77.0
143,Robert,Lutz,R,1947-08-29,USA,77.0
144,Dick,Dell,R,1947-09-29,USA,77.0
145,Jun,Kamiwazumi,R,1947-10-01,JPN,77.0
146,Marcello,Lara,R,1947-10-05,MEX,77.0
147,Ismail,El Shafei,R,1947-11-15,EGY,77.0
148,Toshiro,Sakai,R,1947-11-23,JPN,77.0
149,Lito,Alvarez,R,1947-12-05,ARG,77.0
150,Karl,Coombes,R,1947-12-17,AUS,77.0
151,David,Lloyd,R,1948-01-03,GBR,76.0
152,Patrice,Hagelauer,R,1948-01-05,FRA,76.0
153,Peter,Kanderal,R,1948-01-16,SUI,76.0
154,Ramiro,Benavides,R,1948-01-30,BOL,76.0
155,Jasjit,Singh,R,1948-02-04,IND,76.0
156,Stanley,Pasarell,R,1948-02-11,USA,76.0
157,John,Bartlett,R,1948-03-17,AUS,76.0
158,Vladimir,Korotkov,R,1948-04-23,RUS,76.0
159,Georges,Goven,R,1948-04-26,FRA,76.0
160,Jurgen,Fassbender,R,1948-05-28,GER,76.0
161,Brian,Fairlie,R,1948-06-13,NZL,76.0
162,Tom,Leonard,R,1948-07-15,USA,76.0
163,Bill,Lofgren,R,1948-07-31,USA,76.0
164,Steve,Siegel,R,1948-09-04,USA,76.0
165,Gene Stuart,Malin,R,1948-10-01,USA,76.0
166,Sever,Muresan,R,1948-10-23,ROU,76.0
167,Kenneth,Mcmillan,R,1948-11-25,USA,76.0
168,Ian,Fletcher,R,1948-12-01,AUS,76.0
169,Bernard,Mignot,R,1948-12-03,BEL,76.0
170,John,Yuill,R,1948-12-12,RSA,76.0
171,Modesto Tito,Vazquez,R,1949-01-01,ESP,75.0
172,Andrew,Pattison,R,1949-01-30,USA,75.0
173,Manuel,Orantes,L,1949-02-06,ESP,75.0
174,Zan,Guerry,R,1949-02-12,USA,75.0
175,Hans,Kary,L,1949-02-23,AUT,75.0
176,Pavel,Hutka,R,1949-02-28,CZE,75.0
177,Bob,Giltinan,R,1949-04-07,AUS,75.0
178,Karl,Meiler,R,1949-04-30,GER,75.0
179,Bill,Lloyd,R,1949-05-07,AUS,75.0
180,Larry,Turville,R,1949-06-04,USA,75.0
181,Mike,Estep,R,1949-07-19,USA,75.0
182,Jim,Ward,R,1949-07-28,USA,75.0
183,Lars,Elvstrom,R,1949-08-18,DEN,75.0
184,Patrick,Proisy,R,1949-09-10,FRA,75.0
185,Jeff,Borowiak,R,1949-09-25,USA,75.0
186,Luis Felipe,Tavares,R,1949-09-26,BRA,75.0
187,John,Fort,R,1949-09-28,USA,75.0
188,Dale,Power,R,1949-10-02,CAN,75.0
189,Norman,Holmes,R,1949-10-05,USA,75.0
190,Doug,Crawford,R,1949-10-15,USA,75.0
191,Kent,Crawford,R,1949-10-15,USA,75.0
192,Wanaro,Ngodrella,R,1949-10-19,FRA,75.0
193,Larry,Parker,R,1949-10-23,USA,75.0
194,Nicolas,Kelaidis,R,1949-10-29,GRE,75.0
195,Haroon,Rahim,R,1949-11-12,PAK,75.0
196,Alejandro,Pierola,R,1949-11-20,CHI,75.0
197,Alvaro,Betancur,R,1950-01-03,COL,74.0
198,Patrice,Dominguez,L,1950-01-12,FRA,74.0
199,Antonio,Zugarelli,R,1950-01-17,ITA,74.0
200,Syd,Ball,R,1950-01-24,AUS,74.0
201,George,Amaya,L,1950-02-12,USA,74.0
202,Phil,Dent,R,1950-02-14,AUS,74.0
203,Pancho,Walthall,R,1950-02-16,USA,74.0
204,Paul,Gerken,R,1950-03-15,USA,74.0
205,Kenichi,Hirai,R,1950-03-19,JPN,74.0
206,Noel,Phillips,R,1950-03-28,AUS,74.0
207,Dick R,Bohrnstedt,R,1950-04-28,USA,74.0
208,George,Taylor,R,1950-05-04,USA,74.0
209,Steve,Docherty,R,1950-05-06,AUS,74.0
210,Louk,Sanders,R,1950-05-09,NED,74.0
211,Franklin,Robbins,R,1950-06-13,USA,74.0
212,Fred,Hemmes,U,1950-06-14,NED,74.0
213,Adriano,Panatta,R,1950-07-09,ITA,74.0
214,Fred,Mcnair,R,1950-07-22,USA,74.0
215,Charles,Owens,R,1950-07-31,USA,74.0
216,Robert,Mckinley,R,1950-08-05,USA,74.0
217,Butch,Palmer,R,1950-09-04,USA,74.0
218,Geoff,Masters,R,1950-09-19,AUS,74.0
219,Jiri,Hrebec,R,1950-09-19,CZE,74.0
220,Carlos,Kirmayr,R,1950-09-23,BRA,74.0
221,Mike,Powers,R,1950-09-24,USA,74.0
222,Jeff,Simpson,R,1950-10-29,NZL,74.0
223,Peter,Campbell,R,1950-11-10,AUS,74.0
224,Peter,Doerner,R,1950-11-17,AUS,74.0
225,Mike,Machette,R,1951-01-27,USA,73.0
226,Alvin,Gardiner,R,1951-02-11,AUS,73.0
227,Kjell,Johansson,R,1951-02-12,SWE,73.0
228,Dick,Stockton,R,1951-02-18,USA,73.0
229,Welry,Fritz,R,1951-02-19,CAN,73.0
230,Erik,Van Dillen,R,1951-02-21,USA,73.0
231,Eddie,Dibbs,R,1951-02-23,USA,73.0
232,Ricardo,Cano,R,1951-02-26,ARG,73.0
233,Allan,Mcdonald,R,1951-03-01,AUS,73.0
234,Antonio,Munoz,R,1951-03-01,ESP,73.0
235,John,James,R,1951-03-07,AUS,73.0
236,Bill,Freer,R,1951-03-09,RSA,73.0
237,Rick,Fisher,R,1951-03-29,USA,73.0
238,Hans,Engert,R,1951-04-22,GER,73.0
239,Joao,Soares,R,1951-04-25,BRA,73.0
240,Joel,Bailey,R,1951-04-25,USA,73.0
241,Mike,Collins,R,1951-05-01,GBR,73.0
242,Steve,Krulevitz,R,1951-05-30,USA,73.0
243,John,Alexander,R,1951-07-04,AUS,73.0
244,Jeff,Austin,R,1951-07-05,USA,73.0
245,Frank,Puncec,R,1951-07-09,RSA,73.0
246,Rolf,Thung,L,1951-07-27,NED,73.0
247,Max,Hurlimann,R,1951-07-30,SUI,73.0
248,Paolo,Bertolucci,R,1951-08-03,ITA,73.0
249,Woody,Blocher,R,1951-08-24,USA,73.0
250,Grover Raz,Reid,R,1951-08-27,USA,73.0
251,Tim,Gullikson,R,1951-09-08,USA,73.0
252,Tom,Gullikson,L,1951-09-08,USA,73.0
253,George,Glowa,R,1951-10-01,USA,73.0
254,Roscoe,Tanner,L,1951-10-15,USA,73.0
255,Luis,Baraldi,R,1951-10-21,MEX,73.0
256,Ross,Case,R,1951-11-01,AUS,73.0
257,Jorge,Andrew,R,1951-11-02,VEN,73.0
258,Peter,Feigl,R,1951-11-30,AUT,73.0
259,Gary,Groslimond,R,1952-01-03,USA,72.0
260,Brian,Gottfried,R,1952-01-27,USA,72.0
261,Rolf,Norberg,R,1952-01-31,SWE,72.0
262,John,Andrews,R,1952-02-05,USA,72.0
263,Lajos,Levai,R,1952-02-07,YUG,72.0
264,Cliff,Letcher,R,1952-02-09,AUS,72.0
265,John,Feaver,R,1952-02-16,GBR,72.0
266,Rayno,Seegers,R,1952-02-29,RSA,72.0
267,Denis,Naegelen,R,1952-03-14,FRA,72.0
268,Joe,Garcia,R,1952-03-17,USA,72.0
269,Anand,Amritraj,R,1952-03-20,IND,72.0
270,Jean Francois,Caujolle,L,1952-03-31,FRA,72.0
271,Sandy,Mayer,R,1952-04-05,USA,72.0
272,Kim,Warwick,R,1952-04-08,AUS,72.0
273,Eric,Deblicker,R,1952-04-17,FRA,72.0
274,Hartmut,Kirchhubel,R,1952-04-23,GER,72.0
275,Terry,Moor,L,1952-04-23,USA,72.0
276,Jacques,Thamin,R,1952-05-23,FRA,72.0
277,Frank,Gebert,R,1952-06-11,GER,72.0
278,Mike,Cahill,R,1952-06-17,USA,72.0
279,Wojtek,Fibak,R,1952-08-03,POL,72.0
280,Sashi,Menon,R,1952-08-09,IND,72.0
281,Guillermo,Vilas,L,1952-08-17,ARG,72.0
282,Andre,Zietsmann,R,1952-08-19,RSA,72.0
283,Jimmy,Connors,L,1952-09-02,USA,72.0
284,Rod,Frawley,R,1952-09-08,AUS,72.0
285,Harold,Solomon,R,1952-09-17,USA,72.0
286,Robin,Drysdale,R,1952-09-18,GBR,72.0
287,Tenny,Svensson,R,1952-09-21,SWE,72.0
288,Byron,Bertram,R,1952-10-29,RSA,72.0
289,Timothy,Noonan,R,1952-10-31,USA,72.0
290,Ian,Harris,R,1952-11-16,USA,72.0
291,Alvaro,Fillol,R,1952-12-04,CHI,72.0
292,John,Marks,R,1952-12-09,AUS,72.0
293,Rejean,Genois,R,1952-12-30,CAN,72.0
294,Richard,Legendre,R,1953-01-19,CAN,71.0
295,Chris,Gunning,R,1953-02-07,NZL,71.0
296,Corrado,Barazzutti,R,1953-02-19,ITA,71.0
297,George,Hardie,L,1953-02-19,USA,71.0
298,James Chico,Hagey,R,1953-02-25,USA,71.0
299,Jose,Higueras,R,1953-03-01,ESP,71.0
300,Jim,Delaney,R,1953-03-12,USA,71.0
301,Joaquim,Rasgado Jr,R,1953-03-24,BRA,71.0
302,Henry,Bunis,R,1953-03-27,USA,71.0
303,Robert,Kreiss,R,1953-04-30,USA,71.0
304,Mark,Farrell,R,1953-05-06,GBR,71.0
305,Michael,Wayman,R,1953-05-06,GBR,71.0
306,Paul,Torre,R,1953-05-18,FRA,71.0
307,Robert,Trogolo,R,1953-06-15,RSA,71.0
308,Raul,Ramirez,R,1953-06-20,MEX,71.0
309,Mike,Myburg,R,1953-06-23,RSA,71.0
310,Ulises,Quezada,R,1953-07-14,CHI,71.0
311,Chiraid,Mukherjea,R,1953-08-14,IND,71.0
312,Keith,Richardson,R,1953-08-18,USA,71.0
313,Bernard,Fritz,R,1953-10-05,FRA,71.0
314,Hank,Pfister,R,1953-10-09,USA,71.0
315,Scott,Carnahan,R,1953-10-24,USA,71.0
316,Stephen,Warboys,R,1953-10-25,GBR,71.0
317,Roger,Guedes,R,1953-11-03,BRA,71.0
318,Rick,Fagel,R,1953-11-29,USA,71.0
319,Mark,Meyers,R,1953-12-05,USA,71.0
320,Vijay,Amritraj,R,1953-12-14,IND,71.0
321,Emilio,Montano,R,1953-12-18,MEX,71.0
322,Givaldo,Barbosa,R,1954-01-25,BRA,70.0
323,John,Whitlinger,R,1954-02-04,USA,70.0
324,Ulrich,Pinner,R,1954-02-07,GER,70.0
325,Russell,Simpson,R,1954-02-22,NZL,70.0
326,Willem,Prinsloo,R,1954-02-25,RSA,70.0
327,Rand,Evett,R,1954-03-01,USA,70.0
328,Otto,Panman,R,1954-03-25,NED,70.0
329,David,Imonitie,R,1954-04-10,NGR,70.0
330,Jean Louis,Haillet,R,1954-05-07,FRA,70.0
331,Balazs,Taroczy,R,1954-05-09,HUN,70.0
332,Shigeyuki,Nishio,R,1954-05-23,JPN,70.0
333,Ernie,Ewert,R,1954-06-05,AUS,70.0
334,David,Parker,R,1954-06-07,USA,70.0
335,Guillermo,Aubone,L,1954-06-08,ARG,70.0
336,Mark,Edmondson,R,1954-06-24,AUS,70.0
337,Benjy,Robins,R,1954-06-30,USA,70.0
338,Victor,Amaya,L,1954-07-02,USA,70.0
339,Sam,Vuille,R,1954-07-06,USA,70.0
340,Gonzalo,Nunez,R,1954-07-21,USA,70.0
341,Vitas,Gerulaitis,R,1954-07-26,USA,70.0
342,John,Lloyd,R,1954-08-27,GBR,70.0
343,Eric,Friedler,R,1954-09-08,USA,70.0
344,Pat,Dupre,R,1954-09-16,USA,70.0
345,Paul,Kronk,R,1954-09-22,AUS,70.0
346,Peter,Kronk,R,1954-09-22,AUS,70.0
347,Gerard,Toulon,R,1954-09-24,FRA,70.0
348,Glen,Holroyd,R,1954-09-25,USA,70.0
349,Franz Josef,Wich,R,1954-10-11,GER,70.0
350,Freddie,De Jesus,R,1954-10-30,PUR,70.0
351,John,Lucas,R,1954-10-31,USA,70.0
352,Bruce,Kleege,R,1954-11-01,USA,70.0
353,Bernard,Mitton,R,1954-11-09,RSA,70.0
354,Victor,Eke,R,1954-11-11,AUS,70.0
355,Paul,Mcnamee,R,1954-11-12,AUS,70.0
356,Bhanu,Nunna,R,1954-11-13,IND,70.0
357,Mike,Fishbach,R,1954-12-01,USA,70.0
358,Richard,Lewis,L,1954-12-06,GBR,70.0
359,Brian,Teacher,R,1954-12-23,USA,70.0
360,Willie,Davies,R,1955-01-01,GBR,69.0
361,Peter,Fleming,R,1955-01-21,USA,69.0
362,Jiri,Granat,R,1955-01-28,CZE,69.0
363,Jonathan,Smith,R,1955-01-29,GBR,69.0
364,Peter,Holl,R,1955-01-29,GER,69.0
365,Heiner,Seuss,R,1955-02-04,GER,69.0
366,Belus,Prajoux,R,1955-02-27,CHI,69.0
367,Haroon,Ismail,R,1955-02-27,ZIM,69.0
368,Herve,Gauvain,R,1955-03-04,FRA,69.0
369,Helmut,Beermann,R,1955-03-09,GER,69.0
370,Robert,Baumgartner,R,1955-03-11,GER,69.0
371,Trey,Waltke,R,1955-03-16,USA,69.0
372,Christopher,Sylvan,R,1955-03-18,USA,69.0
373,Javier,Soler,L,1955-03-25,ESP,69.0
374,John,Hayes,R,1955-04-07,USA,69.0
375,Buster C,Mottram,R,1955-04-25,GBR,69.0
376,Colin,Dowdeswell,R,1955-05-12,GBR,69.0
377,David,Schneider,R,1955-05-17,USA,69.0
378,Craig,Edwards,R,1955-05-19,USA,69.0
379,Butch,Walts,R,1955-06-04,USA,69.0
380,Michael,Greenberg,R,1955-06-11,USA,69.0
381,Chris,Kachel,R,1955-06-19,AUS,69.0
382,Peter,Mcnamara,R,1955-07-05,AUS,69.0
383,Alejandro,Cortes,R,1955-07-14,COL,69.0
384,Filip,Krajcik,R,1955-07-23,AUT,69.0
385,Jose,Garcia G003,R,1955-07-23,ESP,69.0
386,Jiri,Prucha,R,1955-08-10,CZE,69.0
387,Peter,Pearson,R,1955-08-12,USA,69.0
388,Horace,Reid,R,1955-08-14,USA,69.0
389,Trevor,Allan,L,1955-08-17,AUS,69.0
390,Larry,Davidson,R,1955-08-21,USA,69.0
391,Richard,Meyer,R,1955-09-04,USA,69.0
392,Marcos,Hocevar,R,1955-09-26,BRA,69.0
393,Angel,Gimenez,R,1955-10-10,ESP,69.0
394,Victor,Pecci,R,1955-10-15,PAR,69.0
395,Martin,Robinson,L,1955-10-19,GBR,69.0
396,Terry,Rocavert,R,1955-10-21,AUS,69.0
397,Julio,Goes,R,1955-10-25,BRA,69.0
398,Rocky,Maguire,R,1955-10-27,USA,69.0
399,Hubertus,Hoyt,R,1955-11-03,USA,69.0
400,Sean,Sorensen,R,1955-11-12,IRL,69.0
401,Francisco,Gonzalez,R,1955-11-19,PAR,69.0
402,Rolf,Gehring,R,1955-11-25,GER,69.0
403,David,Sherbeck,R,1955-12-02,USA,69.0
404,Fernando,Maynetto,R,1955-12-02,PER,69.0
405,Greg,Halder,R,1955-12-05,CAN,69.0
406,Dale,Collings,R,1955-12-16,AUS,69.0
407,Gary,Plock,R,1955-12-21,USA,69.0
408,Randy,Crawford,R,1955-12-22,USA,69.0
409,Tim,Garcia,R,1955-12-28,USA,69.0
410,Pavel,Slozil,R,1955-12-29,CZE,69.0
411,Bruce,Nichols,R,1955-12-31,USA,69.0
412,Ulrich,Marten,R,1956-01-01,GER,68.0
413,Gunther,Gnettner,R,1956-01-12,GER,68.0
414,Michael,Grant,R,1956-02-03,USA,68.0
415,Bill,Maze,R,1956-02-09,USA,68.0
416,Hans,Gildemeister,R,1956-02-09,CHI,68.0
417,Geoff,Martinez,R,1956-02-13,USA,68.0
418,Todd,Lundy,R,1956-02-17,USA,68.0
419,Hans,Ritschard,R,1956-02-25,SUI,68.0
420,Jan,Norback,R,1956-03-06,SWE,68.0
421,Bruce,Manson,L,1956-03-20,USA,68.0
422,Jochen,Hierl,R,1956-03-21,GER,68.0
423,Warren,Eber,R,1956-03-28,USA,68.0
424,Junie,Chatman,R,1956-03-29,USA,68.0
425,Hans Peter,Kandler,R,1956-04-02,AUT,68.0
426,Ferrante,Rocchi,L,1956-04-11,ITA,68.0
427,Gene,Mayer,R,1956-04-11,USA,68.0
428,Miguel,Mir,R,1956-04-18,ESP,68.0
429,David,Carter,R,1956-04-21,AUS,68.0
430,Mansour,Bahrami,R,1956-04-26,IRI,68.0
431,Robert,Bettauer,R,1956-05-02,CAN,68.0
432,Fritz,Don,R,1956-05-13,NED,68.0
433,Tomas,Smid,R,1956-05-20,CZE,68.0
434,Regis,Brunet,R,1956-05-31,FRA,68.0
435,Nick,Saviano,L,1956-06-05,USA,68.0
436,Bjorn,Borg,R,1956-06-06,SWE,68.0
437,Carlos,Gattiker,R,1956-06-06,ARG,68.0
438,Mike,Barr,R,1956-06-27,USA,68.0
439,Eddie,Edwards,R,1956-07-03,RSA,68.0
440,Mark,Darby,R,1956-07-03,USA,68.0
441,Gianni,Marchetti,R,1956-07-08,ITA,68.0
442,Christophe,Freyss,L,1956-08-30,FRA,68.0
443,Werner,Zirngibl,R,1956-09-04,GER,68.0
444,Steve,Denton,R,1956-09-05,USA,68.0
445,John,Sadri,R,1956-09-19,USA,68.0
446,Juan,Nunez,R,1956-09-23,CHI,68.0
447,Bruce,Foxworth,R,1956-09-25,USA,68.0
448,Stanislav,Birner,R,1956-10-11,CZE,68.0
449,Leo,Palin,R,1956-10-20,FIN,68.0
450,Tony,Graham,R,1956-10-29,USA,68.0
451,Bill,Scanlon,R,1956-11-13,USA,68.0
452,Jose Luis,Damiani,R,1956-11-21,URU,68.0
453,Mehl,Ampon,R,1956-11-30,USA,68.0
454,Tony,Lloyd,R,1956-12-03,GBR,68.0
455,Ferdi,Taygan,R,1956-12-05,USA,68.0
456,Carlos,Soares,R,1956-12-13,BRA,68.0
457,Pedro,Gonzalez G162,R,1956-12-18,PUR,68.0
458,Tracy,Delatte,R,1956-12-22,USA,68.0
459,Jose,Lopez Maeso,R,1956-12-24,ESP,68.0
460,Billy,Martin,R,1956-12-25,USA,68.0
461,Jeff,Etterbeek,R,1956-12-31,USA,68.0
462,Ben,Mckown,R,1957-01-11,USA,67.0
463,Warren,Maher,R,1957-01-15,AUS,67.0
464,Mike,Shore,R,1957-01-20,USA,67.0
465,Maurice,Hunter,R,1957-01-27,USA,67.0
466,Mark,Turpin,R,1957-02-04,USA,67.0
467,Dominique,Bedel,R,1957-02-20,FRA,67.0
468,Ashok,Amritraj,R,1957-02-22,IND,67.0
469,Juan Carlos,Andrade,R,1957-02-22,ESP,67.0
470,Mark,Vines,L,1957-02-23,USA,67.0
471,Craig,Wittus,R,1957-02-24,USA,67.0
472,Glenn,Petrovic,R,1957-03-03,USA,67.0
473,Chris,Lewis Nzl,R,1957-03-09,NZL,67.0
474,Matt,Mitchell,R,1957-03-16,USA,67.0
475,Nigel,Sears,R,1957-04-04,GBR,67.0
476,Gianni,Ocleppo,R,1957-04-06,ITA,67.0
477,Pascal,Deniau,R,1957-04-07,FRA,67.0
478,Reinhart,Probst,R,1957-04-17,GER,67.0
479,Josef,Brabenec,R,1957-04-24,CAN,67.0
480,Roberto,Vizcaino,R,1957-04-25,ESP,67.0
481,Jochen,Settelmeyer,R,1957-05-07,GER,67.0
482,Christophe,Casa,R,1957-05-30,FRA,67.0
483,Pem,Guerry,R,1957-06-06,USA,67.0
484,Tsuyoshi,Fukui,R,1957-06-22,JPN,67.0
485,Christophe Roger,Vasselin,R,1957-07-08,FRA,67.0
486,Renald,Etienne,R,1957-07-14,USA,67.0
487,Chris,Delaney,R,1957-07-16,USA,67.0
488,Larry,Stefanki,R,1957-07-23,USA,67.0
489,Jaroslav,Navratil,R,1957-07-24,CZE,67.0
490,Alan,Chandronnait,R,1957-07-31,USA,67.0
